config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
f7b2d720400f8526,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.05,0.0,0.25159698002280734,0.6049395580180342,0.44302389376347856,0.2386878065452074,0.1068943706514864,4,0.48903431199151043,False
e58cecb90483c714,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.05,0.15,0.24159422565497493,0.5721573299846529,0.4415764389912518,0.23469410926132647,0.09986595174262734,4,0.5063175242629555,False
f01e3c7d0a2b0205,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.05,0.25,0.23974453920229502,0.5185182182454895,0.46669335549314733,0.24014829480436975,0.10352760736196319,4,0.5614820846905537,False
e0d1bcce06268b0b,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.1,0.0,0.2649136535493456,0.5230419742631299,0.49586133676694616,0.23942755645207625,0.10697305863708399,4,0.48681972789115646,False
0a4731291bc70473,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.1,0.15,0.25538966750859715,0.49810279217122305,0.49324245437176417,0.23537859685464427,0.10561056105610561,4,0.5017528483786152,False
f3ec4a1bdfc8a701,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.2,0.1,0.25,0.2551596556672699,0.4446778046529924,0.5183944425098611,0.24420057379398122,0.11121951219512195,4,0.5687250996015937,False
ed0e2704c52cec93,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.0,0.0,0.23422326014563358,0.722396215717216,0.35756298441254614,0.2402791628878352,0.10343087790111,4,0.4894574079280292,False
a96bbbc2307a226d,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.0,0.15,0.22554729895937276,0.688327496216635,0.35621749062845964,0.23662344356750684,0.09713375796178345,4,0.5037615740740741,False
b522af8a6fe48308,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.0,0.25,0.2227116683746654,0.634581717810805,0.38143799507872744,0.24317843264582062,0.09964622641509434,4,0.5462118830556428,False
c702c087f4fb022b,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.02,0.0,0.2411038026449471,0.6713583229664907,0.3966582222945836,0.23668161693001366,0.105,4,0.4902416356877323,False
67303b4a522beb4d,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.02,0.15,0.23174067992090966,0.6372896034659096,0.3953127285104971,0.23285576753856266,0.09811985898942421,4,0.5060761112887752,False
4e120f54c26af80b,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.02,0.25,0.22921802972251104,0.5836504917267461,0.4205332329607648,0.23920855120521364,0.09937456567060458,4,0.5536465638148668,False
912b6fa0d092e3b5,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.05,0.0,0.25159698002280734,0.6049395580180342,0.44302389376347856,0.2386878065452074,0.1068943706514864,4,0.48903431199151043,False
66d5a86996eab2e4,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.05,0.15,0.24159422565497493,0.5721573299846529,0.4415764389912518,0.23469410926132647,0.09986595174262734,4,0.5063175242629555,False
65204e112d51e8d6,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.05,0.25,0.23974453920229502,0.5185182182454895,0.46669335549314733,0.24014829480436975,0.10352760736196319,4,0.5614820846905537,False
15c070d1f2eb6743,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.1,0.0,0.2649136535493456,0.5230419742631299,0.49586133676694616,0.23942755645207625,0.10697305863708399,4,0.48681972789115646,False
247a92331d2a87b3,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.1,0.15,0.25538966750859715,0.49810279217122305,0.49324245437176417,0.23537859685464427,0.10561056105610561,4,0.5017528483786152,False
f343c9501ad97796,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.4,0.1,0.25,0.2551596556672699,0.4446778046529924,0.5183944425098611,0.24420057379398122,0.11121951219512195,4,0.5687250996015937,False
8afa6f838d2b6fa9,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.6,0.0,0.0,0.22777797723822113,0.70015474021918,0.354047839197735,0.23722637677140757,0.09376609994848016,4,0.49693251533742333,False
a091b17c2e0d46dd,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.6,0.0,0.15,0.223365156978209,0.6814490312343523,0.35470190222596604,0.23550014842027492,0.09579563597658329,4,0.50625,False
52fa66dfb1f2f15c,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.6,0.0,0.25,0.22185555225027534,0.6322178672221352,0.3808517307404074,0.2427134120930503,0.09911504424778761,4,0.5472292191435768,False
65304944f016621f,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.6,0.02,0.0,0.23409801836079028,0.6492251780935221,0.3930394413898523,0.233435586717296,0.09437180216031836,4,0.49850464347552337,False
7f5aedf2e924bf95,0.5,0.2,0.2,0.05,0.1,0.0,0.2,0.6,0.02,0.15,0.22934837080625212,0.6305194691086946,0.3936935044180832,0.2316449294373574,0.0966411314083677,4,0.5088367609254498,False
