dataset,fold,information_level,model,seed,epochs_run,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
oulad,0,20pct,RF,42,15,0.7592687435257726,0.7856750490261607,0.6649616368286445,0.6451612903225806,0.6860158311345647,0.7186424003935071,0.704705550859397,0.7023291157640359,0.18286437460000854,0.03066510582543756,0.8108628345225803,0.8849708810298701,0.42,1040,572,1461,476,3549,0.42716258100873483
oulad,0,35pct,Hybrid,42,15,0.8138348408628904,0.8421356926577555,0.7007844602166604,0.7198772064466615,0.6826783114992722,0.8204623708804722,0.7648958027590256,0.7515703411898722,0.16755102085406207,0.10270760253581321,0.5137796969194041,0.4887159280437787,0.27,938,365,1668,436,3407,0.40328734957440565
oulad,0,35pct,LR,42,15,0.7938396234621093,0.8259128312967048,0.6895533407161314,0.699625468164794,0.6797671033478894,0.8027545499262174,0.7531552685647197,0.7412608266370534,0.16524424548378305,0.06204857515422112,0.7400866904083051,0.8358472925382319,0.49,934,401,1632,440,3407,0.40328734957440565
oulad,0,35pct,RF,42,15,0.7967709716237569,0.8202031831404819,0.6883116883116883,0.648840206185567,0.7328966521106259,0.7319232661091982,0.7323158203698268,0.732409959109912,0.16231529660512686,0.020533526444762265,0.7405120530133477,0.8257151104441471,0.37,1007,545,1488,367,3407,0.40328734957440565
oulad,0,50pct,Hybrid,42,15,0.8513930708845105,0.8767206051911942,0.7320754716981132,0.7651183172655566,0.7017684887459807,0.868175110673881,0.805004577357339,0.7849717997099308,0.14131917390277135,0.0898117990824708,0.40887300013940026,0.3177084196409018,0.26,873,268,1765,371,3277,0.3796155019835215
oulad,0,50pct,LR,42,15,0.83790634936419,0.8666662449012515,0.7208627125673994,0.7446443873179092,0.6985530546623794,0.853418593212002,0.7946292340555386,0.7759858239371906,0.14048243542100922,0.06143822102323754,0.6731655327106998,0.7580979322965706,0.49,869,298,1735,375,3277,0.3796155019835215
oulad,0,50pct,RF,42,15,0.8359368672890508,0.8614018217102692,0.7142303218301668,0.6898876404494382,0.7403536977491961,0.7963600590260699,0.775099176075679,0.768356878387633,0.13752265998368685,0.02133698847774629,0.649666349045658,0.7026003247532782,0.36,921,414,1619,323,3277,0.3796155019835215
oulad,0,75pct,Hybrid,42,15,0.8887276719818118,0.9137223615226805,0.7743589743589744,0.8540723981900452,0.7082551594746717,0.9365469749139204,0.8580187157147466,0.8224010671942961,0.10333756820172704,0.04375598579231939,0.35522617664178663,0.24242373919559657,0.37,755,129,1904,311,3099,0.34398192965472735
oulad,0,75pct,LR,42,15,0.8751946578355457,0.9030554942879634,0.7599591419816139,0.8340807174887892,0.6979362101313321,0.927201180521397,0.8483381736043886,0.8125686953263646,0.11225657129145325,0.060286188211036054,0.5666337294297583,0.6141462042872339,0.56,744,148,1885,322,3099,0.34398192965472735
oulad,0,75pct,RF,42,15,0.8772158914205188,0.902307978394022,0.7592008412197687,0.8636363636363636,0.6772983114446529,0.9439252336448598,0.8522103904485318,0.8106117725447564,0.10604210060396005,0.018708029390838942,0.5127815258339267,0.5134326188844663,0.46,722,114,1919,344,3099,0.34398192965472735
oulad,0,100pct,Hybrid,42,15,0.9209321361195467,0.9391544615878815,0.8348673524634542,0.889273356401384,0.786734693877551,0.9527791441219872,0.8987719880517756,0.8697569189997691,0.07622676180200941,0.014213032590690846,0.33036683834370006,0.2200001539780883,0.4,771,96,1937,209,3013,0.32525721871888486
oulad,0,100pct,LR,42,15,0.8989107870982455,0.921364827288515,0.7990945104697227,0.8970775095298602,0.7204081632653061,0.9601574028529267,0.8821772319946897,0.8402827830591164,0.09163213916370293,0.05120002504936125,0.49426052200149556,0.5024348856085101,0.58,706,81,1952,274,3013,0.32525721871888486
oulad,0,100pct,RF,42,15,0.9065730291660091,0.9260698475159863,0.8049745618993782,0.9024081115335868,0.726530612244898,0.9621249385145105,0.8854961832061069,0.8443277753797043,0.08350886681607164,0.024201128447064856,0.4433227763883289,0.42203591651165157,0.39,712,77,1956,268,3013,0.32525721871888486
oulad,1,20pct,Hybrid,42,15,0.7512778996521003,0.776592392446051,0.678039534253994,0.5753676470588235,0.8253131179960448,0.5384615384615384,0.6621199204319409,0.6818873282287916,0.20553910670814365,0.12954592999413878,0.5835145540486353,0.6015128605673126,0.13,1252,924,1078,265,3519,0.4310883773799375
oulad,1,20pct,LR,42,15,0.7635527573104526,0.7864508596215913,0.6827628361858191,0.6364672364672365,0.7363216875411998,0.6813186813186813,0.7050298380221653,0.7088201844299405,0.18624817376636105,0.057582597578181814,0.812081859839689,0.8917408031623202,0.44,1117,638,1364,400,3519,0.4310883773799375
oulad,1,20pct,RF,42,15,0.7577144759783618,0.7746393356149454,0.6744250484898864,0.5817399617590823,0.8022412656558998,0.5629370629370629,0.666098323387326,0.6825891642964814,0.18677285674138872,0.027894581154382647,0.8197491335546616,0.899501705710349,0.35,1217,875,1127,300,3519,0.4310883773799375
oulad,1,35pct,Hybrid,42,15,0.803436228039319,0.8261716512805046,0.6979133226324238,0.6257915947035118,0.7888243831640058,0.6753246753246753,0.7215976331360947,0.7320745292443406,0.16378750014939628,0.05586818757469727,0.5796975424880935,0.621057759682479,0.24,1087,650,1352,291,3380,0.4076923076923077
oulad,1,35pct,LR,42,15,0.8026098265090511,0.8246648126909376,0.6997824510514866,0.6992753623188406,0.7002902757619739,0.7927072927072927,0.7550295857988165,0.7464987842346333,0.16569085350140705,0.0666819514044791,0.7520360101043033,0.8566470486588453,0.48,965,415,1587,413,3380,0.4076923076923077
oulad,1,35pct,RF,42,15,0.799463142949485,0.8171157579720716,0.6944351882705765,0.6420209488601355,0.7561683599419449,0.7097902097902098,0.728698224852071,0.7329792848660773,0.1630823591377172,0.029960566396499886,0.7521882180895829,0.8417442751320029,0.37,1042,581,1421,336,3380,0.4076923076923077
oulad,1,50pct,Hybrid,42,15,0.8440021579020635,0.8670960449806604,0.7257939581719597,0.7023988005997002,0.750801282051282,0.8016983016983017,0.7821538461538462,0.7762497918747919,0.13763409401962223,0.05134194264826005,0.47871929066097463,0.43064095632172095,0.29,937,397,1605,311,3250,0.384
oulad,1,50pct,LR,42,15,0.8378853604962151,0.8649967820640898,0.7238644556596971,0.6579292267365662,0.8044871794871795,0.7392607392607392,0.7643076923076924,0.7718739593739594,0.14295929624747228,0.07016813975946905,0.6676645046843279,0.7584206756411227,0.39,1004,522,1480,244,3250,0.384
oulad,1,50pct,RF,42,15,0.8416032121317267,0.8622103057199211,0.7307538891104907,0.727561556791104,0.7339743589743589,0.8286713286713286,0.7923076923076923,0.7813228438228438,0.1367061714495496,0.026921722284016694,0.6506336268265208,0.7067332255079537,0.4,916,343,1659,332,3250,0.384
oulad,1,75pct,Hybrid,42,15,0.8959511753194387,0.9147747963537437,0.7811158798283262,0.7647058823529411,0.7982456140350878,0.8741258741258742,0.8484147952443857,0.836185744080481,0.09451729686125633,0.03390480366560398,0.4080324783096872,0.3260000049550225,0.36,819,252,1750,207,3028,0.33883751651254956
oulad,1,75pct,LR,42,15,0.8887053089783219,0.9093591593591593,0.7803247373447947,0.7649812734082397,0.7962962962962963,0.8746253746253746,0.8480845442536328,0.8354608354608355,0.10694608550674772,0.08035871627824527,0.5682560458579476,0.6220810702039054,0.47,817,251,1751,209,3028,0.33883751651254956
oulad,1,75pct,RF,42,15,0.8959169064175513,0.912708636392847,0.8105206655931294,0.9020310633213859,0.7358674463937622,0.9590409590409591,0.8834214002642008,0.8474542027173606,0.09413249441482763,0.04015624666990358,0.5206514417940218,0.5345460328955518,0.49,755,82,1920,271,3028,0.33883751651254956
oulad,1,100pct,Hybrid,42,15,0.9261539714083523,0.9417456216819273,0.8430393788130893,0.8826945412311266,0.8067940552016986,0.9495504495504495,0.9038722826086957,0.878172252376074,0.07805334072734872,0.05482466375463488,0.3962932796395026,0.31693585764769594,0.57,760,101,1901,182,2944,0.31997282608695654
