candidate_id,outer_fold,seed,epochs_ran,selected_epoch,refit_epochs,hit_epoch_cap,full_refit_input_records,estimator_parity,criterion_parity,resampling_parity,scheduler_state,sample_utilization,cnn_output_sequence_length
A1,3,155,15,5,5,False,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
A2,3,42,60,55,55,True,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,3,123,60,52,52,True,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
A2,3,155,19,9,9,False,253,True,True,True,"{""learning_rate"": 0.00773847623309851, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",2
N0,4,42,62,52,52,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,4,123,41,31,31,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N0,4,155,23,13,13,False,253,True,True,True,"{""learning_rate"": 0.005937601783378149, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 32, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 29, ""n_batches"": 8, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,4,42,40,24,24,True,253,True,True,True,"{""learning_rate"": 0.009717446267381712, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,4,123,34,24,24,False,253,True,True,True,"{""learning_rate"": 0.009717446267381712, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
N1,4,155,40,24,24,True,253,True,True,True,"{""learning_rate"": 0.009717446267381712, ""replayable"": true, ""type"": ""fixed_lr""}","{""batch_size"": 16, ""dataset_size"": 253, ""drop_last_train"": false, ""final_batch_size"": 13, ""n_batches"": 16, ""samples_consumed_per_epoch"": 253, ""samples_dropped_per_epoch"": 0}",1
