dataset,scenario,model_id,outer_fold,selected_params,selected_inner_macro_f1,outer_rows_used_for_selection
student_mat,S1_MID_G1_ONLY,hist_gradient_boosting,4,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 15}",0.6871396435921667,False
student_mat,S1_MID_G1_ONLY,svm,0,"{""C"": 0.5, ""class_weight"": null, ""gamma"": 0.1}",0.7638846849739614,False
student_mat,S1_MID_G1_ONLY,svm,1,"{""C"": 0.5, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.724886154780518,False
student_mat,S1_MID_G1_ONLY,svm,2,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.7369599626084443,False
student_mat,S1_MID_G1_ONLY,svm,3,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.7533174784476543,False
student_mat,S1_MID_G1_ONLY,svm,4,"{""C"": 0.5, ""class_weight"": null, ""gamma"": ""scale""}",0.7418755073053483,False
student_mat,S0_EARLY_NO_GRADE,cnn_only,0,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 6, ""selected_inner_macro_f1"": 0.43699596537841806}",0.43699596537841806,False
student_mat,S0_EARLY_NO_GRADE,cnn_only,1,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 21, ""selected_inner_macro_f1"": 0.48023683865102357}",0.48023683865102357,False
student_mat,S0_EARLY_NO_GRADE,cnn_only,2,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 8, ""selected_inner_macro_f1"": 0.41472919690202564}",0.41472919690202564,False
student_mat,S0_EARLY_NO_GRADE,cnn_only,3,"{""outer_rows_used_for_selection"": false, ""params"": {""batch_size"": 64, ""class_weight"": ""balanced"", ""cnn_channels"": 16, ""context_hidden"": 16, ""dropout"": 0.15, ""fusion_hidden"": 16, ""input_projection"": 16, ""learning_rate"": 0.001, ""lstm_hidden"": 16, ""max_epochs"": 40, ""patience"": 6, ""weight_decay"": 0.0001}, ""selected_epochs"": 5, ""selected_inner_macro_f1"": 0.4339810932270342}",0.4339810932270342,False
