dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
oulad,75pct,control,0,2026,0.899500169654171,0.7928032501450958,0.8102016607354685,0.7761363636363636,0.8607915773055177,0.8439941089245737,0.8405763444777248,0.7761363636363636,0.34,8246,5129,15,8246,8246,1.065588116645813
oulad,100pct,control,0,2026,0.9312458278087224,0.8512853888708103,0.9064449064449065,0.8024539877300614,0.9085817163432687,0.8926463045437084,0.8811913749870253,0.8024539877300614,0.44,7998,4999,15,7998,7998,1.065588116645813
oulad,20pct,smote,0,2026,0.7415266062590149,0.6757502587099,0.5987163814180929,0.7755344418052257,0.6810856658184903,0.6809992949090221,0.6929022758150498,0.7755344418052257,0.17,11000,5895,10,11000,9521,1.065588116645813
oulad,35pct,smote,0,2026,0.7938634147090942,0.6957713390759592,0.633511586452763,0.7716022579244464,0.7260225669957687,0.7232865675495255,0.7332336015060047,0.7716022579244464,0.26,11004,5672,10,11004,9122,1.065588116645813
oulad,50pct,smote,0,2026,0.8454708381548601,0.7319148936170212,0.7240411599625819,0.739961759082218,0.7923457242263322,0.7812294133357073,0.7824178044446413,0.739961759082218,0.28,11004,5461,10,11004,8748,1.065588116645813
oulad,75pct,smote,0,2026,0.8885202670578314,0.7816881258941345,0.7873198847262248,0.7761363636363636,0.8512380581009944,0.8344341856736679,0.8333041568849673,0.7761363636363636,0.38,11004,5129,10,11004,8246,1.065588116645813
oulad,100pct,smote,0,2026,0.9242428271098849,0.8385989010989011,0.9524180967238689,0.749079754601227,0.9059811962392479,0.8861354652262781,0.8654867458075889,0.749079754601227,0.68,11004,4999,10,11004,7998,1.065588116645813
oulad,20pct,adasyn,0,2026,0.7378864185242255,0.6656309338857241,0.5901438628711356,0.7632620744259699,0.6714164546225615,0.6713180515685082,0.6829073803415098,0.7632620744259699,0.14,10530,5895,12,10530,9521,1.065588116645813
oulad,35pct,adasyn,0,2026,0.7865056559147124,0.6899392037654442,0.6291130185979972,0.7637863656100738,0.721262341325811,0.7183883368707125,0.7279899474236181,0.7637863656100738,0.18,10709,5672,12,10709,9122,1.065588116645813
oulad,50pct,adasyn,0,2026,0.8360394261736472,0.722972972972973,0.6835604770017035,0.767208413001912,0.7747665262772386,0.7666083624506951,0.7733340966760822,0.767208413001912,0.16,10724,5461,12,10724,8748,1.065588116645813
oulad,75pct,adasyn,0,2026,0.8815385295301739,0.779021803182086,0.8090575275397797,0.7511363636363636,0.8537726652368883,0.8348780344581759,0.8292636404112361,0.7511363636363636,0.37,11007,5129,12,11007,8246,1.065588116645813
oulad,100pct,adasyn,0,2026,0.9200412999255488,0.8344056891296986,0.9312169312169312,0.7558282208588957,0.9021804360872174,0.8824973796961482,0.8644086191857554,0.7558282208588957,0.56,11026,4999,12,11026,7998,1.065588116645813
oulad,20pct,control,1,42,0.7554112325875796,0.6814968097947922,0.6159600997506235,0.7626399073716712,0.6907751548635527,0.6905125174726361,0.6991792085646056,0.7626399073716712,0.18,9443,5973,18,9443,9443,1.0749127864837646
oulad,35pct,control,1,42,0.806741533690782,0.7050021376656691,0.7034982935153583,0.7065124250214224,0.7585724282715185,0.7503393868665924,0.7505063603522251,0.7065124250214224,0.33,9084,5716,18,9084,9084,1.0749127864837646
oulad,50pct,control,1,42,0.8410967944707501,0.7242718446601941,0.7426580388252862,0.7067740407389863,0.7931913344256326,0.7794094440312331,0.7769529576846912,0.7067740407389863,0.31,8736,5493,18,8736,8736,1.0749127864837646
oulad,75pct,control,1,42,0.8803444188594036,0.7672649832674171,0.8350993377483443,0.7096229600450197,0.8517154487303741,0.8292305573427116,0.8179989430621314,0.7096229600450197,0.47,8235,5159,18,8235,8235,1.0749127864837646
oulad,100pct,control,1,42,0.9153386725060674,0.8243243243243243,0.9650291423813488,0.7194289261328367,0.9010614860805127,0.877732276463807,0.8535051194827401,0.7194289261328367,0.82,8016,4993,18,8016,8016,1.0749127864837646
oulad,20pct,smote,1,42,0.7454007291571463,0.6757081545064377,0.608534322820037,0.7595522964106523,0.6837435124727942,0.6835492251048771,0.6926087916115946,0.7595522964106523,0.16,10950,5973,13,10950,9443,1.0749127864837646
