dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,ece,brier,threshold,outer_test_used
oulad,0,42,75pct,RF,0.8926146826995325,0.7882246920997297,0.7454545454545455,0.8362014021669854,0.862546305322675,0.029018371216624882,0.09686358281734715,0.4,False
oulad,0,42,75pct,XGB,0.8995682703513017,0.7957192319798552,0.7181818181818181,0.8920254057868737,0.8734646129849873,0.05316279186300829,0.09814419597372974,0.6,False
oulad,0,42,75pct,MLP,0.8639459057865142,0.7578149668455952,0.6818181818181818,0.8528784648187633,0.8504581789822577,0.13776480508736122,0.14547363931632262,0.94,False
oulad,0,1201,20pct,LR,0.7654090989049877,0.6904024767801857,0.7945368171021377,0.6104014598540146,0.6946564885496184,0.0490474299758116,0.1824334252134008,0.39,False
oulad,0,1201,20pct,DT,0.7085628926546188,0.6411574338473254,0.6666666666666666,0.6175284195086175,0.6802374893977947,0.07433179628795028,0.20591432659453948,0.41,False
oulad,0,1201,20pct,RF,0.7526414588668164,0.6749697284206885,0.7723673792557403,0.5993855606758832,0.6812553011026293,0.017925939804461565,0.18549359572316224,0.36,False
oulad,0,1201,20pct,XGB,0.767773089061242,0.6823300970873787,0.6955661124307205,0.6695884146341463,0.7224766751484308,0.03987666483434507,0.18200692789787848,0.46,False
oulad,0,1201,20pct,MLP,0.6889332938483645,0.6286017323669789,0.7038796516231196,0.5678696901948259,0.6435962680237489,0.2788813723719,0.2957289468473085,0.05,False
oulad,0,1201,35pct,LR,0.8068539139405924,0.6988309519391352,0.817629179331307,0.6101749837977966,0.7138575458392101,0.060273527880851684,0.16228119559508145,0.36,False
oulad,0,1201,35pct,DT,0.7606204766118039,0.6609071274298056,0.7972210160660008,0.5644020903781125,0.6678420310296191,0.07120524359117708,0.18256140377647864,0.38,False
oulad,0,1201,35pct,RF,0.799356614551157,0.6924901185770751,0.7607468519322622,0.6354733405875952,0.7256699576868829,0.0190316212873481,0.1626232710814852,0.35,False
oulad,0,1201,35pct,XGB,0.8133911341433884,0.7046745303626037,0.7003907946157186,0.709010989010989,0.7616361071932299,0.049003547904434994,0.15953769146037813,0.47,False
oulad,0,1201,35pct,MLP,0.7397831446904164,0.6400971070200283,0.6869300911854104,0.5992424242424242,0.6863540197461213,0.24999002088394418,0.2638858437842647,0.12,False
oulad,0,1201,50pct,LR,0.8487640811320546,0.7458094144661309,0.7762906309751434,0.7176314626601856,0.7972898736495148,0.0674427435294541,0.1374653027976774,0.45,False
oulad,0,1201,50pct,DT,0.8075426594468388,0.6988051091882983,0.8107074569789675,0.6140477914554671,0.7322834645669292,0.07957889469715243,0.15643006572689405,0.37,False
oulad,0,1201,50pct,RF,0.8469852038366791,0.7284046692607004,0.6711281070745698,0.7963698241633579,0.8082768723676982,0.02675780745788121,0.1339627006184648,0.45,False
oulad,0,1201,50pct,XGB,0.854933848971322,0.7448005872277954,0.7275334608030593,0.7629072681704261,0.8090093389489105,0.05456308923464563,0.13357345408727656,0.5,False
oulad,0,1201,50pct,MLP,0.80200941320818,0.6895723209995195,0.6859464627151052,0.6932367149758454,0.763413294268449,0.19958131303827675,0.20910175639311088,0.33,False
