dataset,scenario,model_id,class_label,precision,recall,f1,support
student_por,S2_LATE_G1_G2,logistic_regression,Medium,0.9187817258883249,0.8660287081339713,0.8916256157635468,418
student_por,S2_LATE_G1_G2,logistic_regression,High,0.8686131386861314,0.9083969465648855,0.8880597014925373,131
student_por,S2_LATE_G1_G2,decision_tree,Low,0.788235294117647,0.67,0.7243243243243244,100
student_por,S2_LATE_G1_G2,decision_tree,Medium,0.8904109589041096,0.9330143540669856,0.9112149532710281,418
student_por,S2_LATE_G1_G2,decision_tree,High,0.9206349206349206,0.8854961832061069,0.9027237354085603,131
student_por,S2_LATE_G1_G2,random_forest,Low,0.7307692307692307,0.76,0.7450980392156863,100
student_por,S2_LATE_G1_G2,random_forest,Medium,0.9187192118226601,0.8923444976076556,0.9053398058252428,418
student_por,S2_LATE_G1_G2,random_forest,High,0.8776978417266187,0.9312977099236641,0.9037037037037037,131
student_por,S2_LATE_G1_G2,hist_gradient_boosting,Low,0.73,0.73,0.73,100
student_por,S2_LATE_G1_G2,hist_gradient_boosting,Medium,0.9045346062052506,0.9066985645933014,0.9056152927120669,418
student_por,S2_LATE_G1_G2,hist_gradient_boosting,High,0.9,0.8931297709923665,0.896551724137931,131
student_por,S2_LATE_G1_G2,svm,Low,0.7553191489361702,0.71,0.7319587628865979,100
student_por,S2_LATE_G1_G2,svm,Medium,0.9052132701421801,0.9138755980861244,0.9095238095238095,418
student_por,S2_LATE_G1_G2,svm,High,0.9022556390977443,0.916030534351145,0.9090909090909091,131
student_por,S2_LATE_G1_G2,xgboost,Low,0.7835051546391752,0.76,0.7715736040609137,100
student_por,S2_LATE_G1_G2,xgboost,Medium,0.9166666666666666,0.9210526315789473,0.918854415274463,418
student_por,S2_LATE_G1_G2,xgboost,High,0.9090909090909091,0.916030534351145,0.9125475285171103,131
student_por,S2_LATE_G1_G2,mlp,Low,0.7710843373493976,0.64,0.6994535519125683,100
student_por,S2_LATE_G1_G2,mlp,Medium,0.8865740740740741,0.916267942583732,0.9011764705882352,418
student_por,S2_LATE_G1_G2,mlp,High,0.8805970149253731,0.9007633587786259,0.8905660377358491,131
student_por,S2_LATE_G1_G2,cnn_only,Low,0.6717557251908397,0.88,0.7619047619047619,100
student_por,S2_LATE_G1_G2,cnn_only,Medium,0.9534246575342465,0.8325358851674641,0.8888888888888888,418
student_por,S2_LATE_G1_G2,cnn_only,High,0.8235294117647058,0.9618320610687023,0.8873239436619719,131
student_por,S2_LATE_G1_G2,bilstm_only,Low,0.6232876712328768,0.91,0.7398373983739838,100
student_por,S2_LATE_G1_G2,bilstm_only,Medium,0.9601139601139601,0.80622009569378,0.8764629388816645,418
student_por,S2_LATE_G1_G2,bilstm_only,High,0.8289473684210527,0.9618320610687023,0.8904593639575972,131
student_por,S2_LATE_G1_G2,cnn_bilstm,Low,0.6363636363636364,0.91,0.7489711934156379,100
student_por,S2_LATE_G1_G2,cnn_bilstm,Medium,0.958217270194986,0.8229665071770335,0.8854568854568855,418
student_por,S2_LATE_G1_G2,cnn_bilstm,High,0.8503401360544217,0.9541984732824428,0.8992805755395683,131
