dataset,scenario,model_id,outer_fold,runtime_seconds,study_total_seconds
student_mat,S1_MID_G1_ONLY,mlp,1,3.121462300070561,1169.5611943999538
student_mat,S1_MID_G1_ONLY,logistic_regression,2,0.7560550000052899,1169.5611943999538
student_mat,S1_MID_G1_ONLY,random_forest,2,10.36834769998677,1169.5611943999538
student_mat,S1_MID_G1_ONLY,xgboost,2,3.307025199988857,1169.5611943999538
student_mat,S1_MID_G1_ONLY,mlp,2,3.425501500023529,1169.5611943999538
student_mat,S1_MID_G1_ONLY,logistic_regression,3,0.6977773000253364,1169.5611943999538
student_mat,S1_MID_G1_ONLY,random_forest,3,10.561072199954651,1169.5611943999538
student_mat,S1_MID_G1_ONLY,xgboost,3,3.399265200016089,1169.5611943999538
student_mat,S1_MID_G1_ONLY,mlp,3,3.482900600065477,1169.5611943999538
student_mat,S1_MID_G1_ONLY,logistic_regression,4,0.679031900013797,1169.5611943999538
student_mat,S1_MID_G1_ONLY,random_forest,4,10.463796500000171,1169.5611943999538
student_mat,S1_MID_G1_ONLY,xgboost,4,3.2263271000701934,1169.5611943999538
student_mat,S1_MID_G1_ONLY,mlp,4,3.8025355999125168,1169.5611943999538
student_mat,S2_LATE_G1_G2,logistic_regression,0,0.6899693000596017,1169.5611943999538
student_mat,S2_LATE_G1_G2,random_forest,0,10.181684500072151,1169.5611943999538
student_mat,S2_LATE_G1_G2,xgboost,0,3.261178700020537,1169.5611943999538
student_mat,S2_LATE_G1_G2,mlp,0,3.492511300020851,1169.5611943999538
student_mat,S2_LATE_G1_G2,decision_tree,0,0.7499406000133604,1169.5611943999538
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,0,15.524546499946156,1169.5611943999538
student_mat,S2_LATE_G1_G2,svm,0,1.28629030007869,1169.5611943999538
student_mat,S2_LATE_G1_G2,logistic_regression,1,0.6904134999495,1169.5611943999538
student_mat,S2_LATE_G1_G2,random_forest,1,10.34414599998854,1169.5611943999538
student_mat,S2_LATE_G1_G2,xgboost,1,3.3115409000311047,1169.5611943999538
student_mat,S2_LATE_G1_G2,mlp,1,4.025306900031865,1169.5611943999538
student_mat,S2_LATE_G1_G2,decision_tree,1,0.7683739999774843,1169.5611943999538
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,1,14.153927300008943,1169.5611943999538
student_mat,S2_LATE_G1_G2,svm,1,1.243131099967286,1169.5611943999538
student_mat,S2_LATE_G1_G2,logistic_regression,2,0.6812570000765845,1169.5611943999538
student_mat,S2_LATE_G1_G2,random_forest,2,10.282548499992116,1169.5611943999538
student_mat,S2_LATE_G1_G2,xgboost,2,3.3110552999423817,1169.5611943999538
student_mat,S2_LATE_G1_G2,mlp,2,3.331156400032341,1169.5611943999538
student_mat,S2_LATE_G1_G2,decision_tree,2,0.7844781000167131,1169.5611943999538
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,2,13.971065299934708,1169.5611943999538
student_mat,S2_LATE_G1_G2,svm,2,1.1392797000007704,1169.5611943999538
student_mat,S2_LATE_G1_G2,logistic_regression,3,0.703365599969402,1169.5611943999538
student_mat,S2_LATE_G1_G2,random_forest,3,9.796875400003046,1169.5611943999538
student_mat,S2_LATE_G1_G2,xgboost,3,3.0985144999576733,1169.5611943999538
student_mat,S2_LATE_G1_G2,mlp,3,4.08281980000902,1169.5611943999538
student_mat,S2_LATE_G1_G2,decision_tree,3,0.6313800000352785,1169.5611943999538
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,3,13.210700999945402,1169.5611943999538
student_mat,S2_LATE_G1_G2,svm,3,1.1324928000103682,1169.5611943999538
student_mat,S2_LATE_G1_G2,logistic_regression,4,0.6986523999366909,1169.5611943999538
student_mat,S2_LATE_G1_G2,random_forest,4,9.779312700033188,1169.5611943999538
student_mat,S2_LATE_G1_G2,xgboost,4,3.1700181999476627,1169.5611943999538
student_mat,S2_LATE_G1_G2,mlp,4,3.395769500057213,1169.5611943999538
student_mat,S2_LATE_G1_G2,decision_tree,4,0.6839715000241995,1169.5611943999538
student_mat,S2_LATE_G1_G2,hist_gradient_boosting,4,12.43930820003152,1169.5611943999538
student_mat,S2_LATE_G1_G2,svm,4,1.1750501000788065,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,decision_tree,0,0.6833228999748826,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,decision_tree,1,0.6254671000642702,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,decision_tree,2,0.5979161999421194,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,decision_tree,3,0.6039745999732986,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,decision_tree,4,0.584578900015913,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,0,14.523112499970011,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,1,13.455727100023068,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,2,13.395506100030616,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,3,13.747062199981883,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,4,13.361196900019422,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,svm,0,1.3098153000464663,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,svm,1,1.2144049999769777,1169.5611943999538
student_mat,S0_EARLY_NO_GRADE,svm,2,1.2236015999224037,1169.5611943999538
