dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_por,S0_EARLY_NO_GRADE,mlp,2,2,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001}","[0.31892340546943215, 0.28909459844711644, 0.36855482933914313]",0.32552427775189724,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,3,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.42247803182073546, 0.414103835978836, 0.26148409893992935]",0.3660219889131669,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,4,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.40741780172628844, 0.4012465773166162, 0.26148409893992935]",0.35671615932761136,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,5,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [64, 32], ""learning_rate_init"": 0.001}","[0.4191897953462293, 0.4264923747276688, 0.26148409893992935]",0.3690554230046092,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,6,COMPLETE,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.47186464329321476, 0.2696024998183271, 0.3851120610254351]",0.3755264013789923,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,7,COMPLETE,"{""alpha"": 0.001, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.4477869289775036, 0.2696024998183271, 0.4256108597285068]",0.3810000961747792,,False
student_por,S0_EARLY_NO_GRADE,mlp,2,8,COMPLETE,"{""alpha"": 0.01, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}","[0.44073324336482234, 0.2696024998183271, 0.43783279077396725]",0.3827228446523722,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.3694628694628695, 0.4257501163791279, 0.3368854788292128]",0.3773661548904034,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.5178473578917108, 0.4486815136857165, 0.44061427880986903]",0.46904771679576546,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.4152792414726319, 0.4521284973849195, 0.40600070286417145]",0.4244694805739076,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.4852941176470588, 0.43531906689801425, 0.39467702253258635]",0.4384300690258865,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.4108062608062608, 0.44909426015971504, 0.43885312459072545]",0.43291788185223373,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,3,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.4811074706179601, 0.43969484434600714, 0.4080687830687831]",0.4429570326775834,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4357518829857229, 0.4697546022116295, 0.42968229932480373]",0.4450629281740521,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4061685337842598, 0.4724806201550387, 0.39100957522010155]",0.42321957638646673,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.3786898422586155, 0.4147911237463476, 0.35952472896821996]",0.3843352316577277,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5072448821739803, 0.5352649300017721, 0.4621077425727529]",0.5015391849161684,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.39938719561361075, 0.4521284973849195, 0.44131411383257163]",0.43094326894370066,,False
student_por,S0_EARLY_NO_GRADE,random_forest,3,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4708294810705735, 0.4757886276873618, 0.40961199294532635]",0.4520767005677539,,False
