domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,RF,2,42,FINAL-100,0.9801314107377541,0.9712608353931496,0.9299380591878871,0.967292377701934,0.8961791831357049,0.9303788811380113,0.44,0.9998796902624631,0.019748279524709034,96,False
oulad,RF,2,1201,20pct,0.743862632878926,0.7751339165757263,0.6737624598749788,0.5811485642946317,0.7596899224806202,0.6585322723253758,0.38,0.9976032704587303,0.25374063757980436,96,False
oulad,RF,2,1201,35pct,0.7912071991255918,0.8204811949212714,0.7499119408242338,0.6707105719237435,0.7010869565217391,0.6855624446412755,0.42,0.9983378708839756,0.20713067175838384,96,False
oulad,RF,2,1201,50pct,0.8382470183320005,0.8667695548501294,0.7681985294117647,0.6478931998331248,0.7883248730964467,0.7112434165330891,0.35,0.9986251984975505,0.16037818016554994,96,False
oulad,RF,2,1201,75pct,0.8781881423297848,0.9063958076025799,0.8596116504854369,0.819212808539026,0.7309523809523809,0.7725699905630702,0.42,0.9988795803385311,0.12069143800874627,96,False
oulad,RF,2,1201,FINAL-100,0.980205717380878,0.9715527028207143,0.930488644184446,0.973517559009787,0.8911725955204216,0.9305268950337048,0.47,0.9998869716868393,0.019681254305961238,96,False
oulad,RF,2,2026,20pct,0.7453889577557893,0.7757133237051751,0.6538266599087684,0.5566197183098591,0.8062015503875969,0.6585569071821363,0.35,0.9976996637129625,0.2523107059571732,96,False
oulad,RF,2,2026,35pct,0.7894268778449136,0.8194738545712734,0.7087002465656922,0.5936443542934415,0.7952898550724637,0.6798296554394115,0.34,0.9983564232590398,0.20892954541412623,96,False
oulad,RF,2,2026,50pct,0.8393865242419813,0.8665156014570138,0.7930147058823529,0.7040618955512572,0.7390862944162436,0.7211490837048044,0.4,0.9985903186120255,0.15920379437004417,96,False
oulad,RF,2,2026,75pct,0.8788955310371087,0.9071347948401262,0.8619417475728155,0.8352941176470589,0.718452380952381,0.77248,0.44,0.9986708396143182,0.11977530857720953,96,False
oulad,RF,2,2026,FINAL-100,0.9800056766419357,0.9711819358856072,0.9281486579490709,0.9559765951518528,0.9040843214756258,0.9293066088840737,0.4,0.9998889605720632,0.019883283930127504,96,False
oulad,XGB,0,42,20pct,0.7678847085935823,0.7911568309351225,0.685665818490246,0.5987672439095979,0.8076009501187649,0.6876790830945558,0.3,0.8795176165445957,0.11163290795101344,96,False
oulad,XGB,0,42,35pct,0.8139559367542125,0.8332355734586516,0.7505289139633287,0.6766109785202864,0.7386018237082067,0.7062487025119369,0.34,0.9054863397232811,0.09153040296906856,96,False
oulad,XGB,0,42,50pct,0.8570552883759897,0.8771613383072634,0.8073612891411829,0.76,0.7265774378585086,0.7429130009775171,0.38,0.9311843128096249,0.07412902443363523,96,False
oulad,XGB,0,42,75pct,0.9002018386527838,0.9194325265117786,0.8512380581009944,0.7698971304818625,0.8079545454545455,0.7884668699750486,0.28,0.9616527058070745,0.06145086715429071,96,False
oulad,XGB,0,42,FINAL-100,0.9834338765643073,0.9753893057453434,0.9357301499167129,0.9751972942502819,0.9022164276401564,0.9372883651632128,0.42,0.9935791567508546,0.010145280186547367,96,False
oulad,XGB,0,1201,20pct,0.7687290632286514,0.7912376761055753,0.6892281594571671,0.6048338368580061,0.7925574030087095,0.6860863605209048,0.31,0.8831256965241053,0.11439663329545391,96,False
