dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,prediction_mode,threshold_low,selection_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,argmax,,0.4592286597227275,0.581888246628131,0.48394606301963256,0.44709628362322973,0.4592286597227275,0.3,0.36363636363636365,3.7881648166661597,-0.42483451068686073,0.7011365566065316
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_threshold_tuned,0.05,0.6990588684045141,0.45664739884393063,0.44524013797209044,0.5129407850964737,0.4187396240128976,0.85,0.4276729559748428,5.326751116454325,-1.8172896798365121,0.7011365566065316
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_f1_tuned,0.125,0.454236106442577,0.5105973025048169,0.4482598902319088,0.5030534169755727,0.45459383753501403,0.675,0.453781512605042,4.513734126095488,-1.022919689302523,0.7011365566065316
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,low_recall_priority,0.05,0.7655345911949686,0.45664739884393063,0.44524013797209044,0.5129407850964737,0.4187396240128976,0.85,0.4276729559748428,5.326751116454325,-1.8172896798365121,0.7011365566065316
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,argmax,,0.45864995430212824,0.5684007707129094,0.46839380341137044,0.4516003706871971,0.45864995430212824,0.3625,0.3918918918918919,3.8472771443995146,-0.4696490498602215,0.6607442912798167
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_threshold_tuned,0.05,0.7225688932236713,0.4238921001926782,0.4422574923032974,0.5042961695656306,0.393053980639061,0.9,0.4067796610169492,5.669570263692992,-2.191589128684667,0.6607442912798167
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_f1_tuned,0.125,0.46639604349040864,0.48940269749518306,0.4509623614414811,0.5247540633019675,0.4462227018781544,0.8125,0.4659498207885305,4.837185362901389,-1.3232297122155772,0.6607442912798167
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,low_recall_priority,0.05,0.80135593220339,0.4238921001926782,0.4422574923032974,0.5042961695656306,0.393053980639061,0.9,0.4067796610169492,5.669570263692992,-2.191589128684667,0.6607442912798167
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,argmax,,0.453964501482232,0.5780346820809249,0.47003219526804435,0.44471533124227736,0.453964501482232,0.35,0.3888888888888889,3.7547016126964547,-0.3997728046816944,0.7184553258910574
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,low_threshold_tuned,0.05,0.692681726007396,0.41040462427745666,0.4063856415134735,0.4648536260811709,0.35409064573541715,0.875,0.3856749311294766,5.862752679314163,-2.412792163558512,0.7184553258910574
