dataset,scenario,candidate_id,variant,model_family,fold,cnn_kernel_size,cnn_channels,lstm_hidden_dim,pooling,loss_name,imbalance_strategy,dropout,context_hidden_dim,ordinal_weight,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
xapi,xapi,seq_k2_c16_h32_last_cw,sequence_cnn_bilstm_v28,sequence,2,2,16,32,last,class_weight,none_class_weight,0.2,64,0.3,0.578125,0.5872549019607843,0.634969777384638,0.5797146586843386,0.8823529411764706,0.7563025210084033,4.2879737347609765,0.16213637868071418,0.6422889232635498
xapi,xapi,seq_k2_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,1,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.625,0.6237179487179487,0.6373649810801513,0.6279862848670188,0.78,0.7090909090909091,4.287062659910629,0.1532309845820723,0.6561102867126465
xapi,xapi,seq_k2_c32_h64_attn_cw,sequence_cnn_bilstm_v28,sequence,2,2,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.6302083333333334,0.6524317552686347,0.6775394368273625,0.6387989952875449,0.803921568627451,0.780952380952381,3.8143779527816415,0.3369953895176191,0.6609102487564087
xapi,xapi,seq_k3_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,1,3,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.6458333333333334,0.644609870416322,0.6632129342965256,0.6502176319393632,0.84,0.75,4.029998190653027,0.2517357471266163,0.5603377819061279
xapi,xapi,seq_k3_c32_h64_attn_focal,sequence_cnn_bilstm_v28_focal,sequence,2,3,32,64,attention,focal_loss_class_weight,focal_loss_class_weight,0.2,64,0.3,0.609375,0.6302595395150709,0.6656101036905991,0.6156241610738254,0.8627450980392157,0.8,3.883559095726496,0.31272754580119766,0.5977297425270081
xapi,xapi,seq_k3_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,1,3,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.6302083333333334,0.6311319786535304,0.6693154454764363,0.6356749311294766,0.9,0.75,4.1794076035565935,0.19522448871190223,0.5951217412948608
xapi,xapi,seq_k3_c64_h96_attn_cbf,sequence_cnn_bilstm_v28_focal,sequence,2,3,64,96,attention,class_balanced_focal_loss,class_balanced_focal_loss,0.2,64,0.3,0.65625,0.6724013743428406,0.703204088653005,0.6648913276860584,0.8627450980392157,0.8073394495412844,3.606634511563377,0.4072475336746926,0.5865253806114197
xapi,xapi,seq_k3_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,1,3,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.6041666666666666,0.6063430836815601,0.639545923632611,0.613303592354629,0.84,0.7433628318584071,4.261167924798708,0.16342940701360242,0.5659183859825134
xapi,xapi,seq_k3_c32_h64_last_random_focal,sequence_cnn_bilstm_v28_focal,sequence,2,3,32,64,last,focal_loss_class_weight,random_oversampling_focal_loss,0.2,64,0.3,0.5625,0.5965488215488216,0.6126099562632069,0.5765044602253905,0.7450980392156863,0.7676767676767676,4.142010381445223,0.21820755792770263,0.5990629196166992
xapi,xapi,seq_k2_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,1,2,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.6302083333333334,0.632141132314995,0.6393601651186791,0.6333415546512106,0.78,0.7222222222222222,4.112037714645461,0.22096050767146946,0.6469473242759705
xapi,xapi,seq_k2_c32_h64_attn_smotenc_cw,sequence_cnn_bilstm_v28,sequence,2,2,32,64,attention,class_weight,smotenc_class_weight,0.2,64,0.3,0.6145833333333334,0.6400495735090459,0.6637549756744803,0.6248717948717949,0.803921568627451,0.7884615384615384,3.8632213458028346,0.31990703012806077,0.6196754574775696
xapi,xapi,seq_k3_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,1,3,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.6510416666666666,0.6493458922030351,0.667953216374269,0.6528328728331748,0.86,0.7478260869565218,4.091403589641742,0.22875930129558075,0.5988475680351257
xapi,xapi,seq_k3_c32_h64_attn_smotenc_focal,sequence_cnn_bilstm_v28_focal,sequence,2,3,32,64,attention,focal_loss_class_weight,smotenc_focal_loss,0.2,64,0.3,0.578125,0.6320193081255029,0.6344169246646026,0.5820433436532507,0.7058823529411765,0.7578947368421053,4.152371310468273,0.21429147556759554,0.5845423340797424
xapi,xapi,seq_k3_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,1,3,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.609375,0.6271421389068448,0.6635500515995872,0.6127739390812523,0.86,0.7478260869565218,4.242640687119285,0.17068828415604453,0.7149538397789001
xapi,xapi,seq_k3_c64_h64_attn_ordinal,sequence_cnn_bilstm_v28_ordinal,sequence,2,3,64,64,attention,ordinal_class_weight,none_class_weight,0.2,64,0.3,0.6302083333333334,0.6552560231325525,0.6775394368273625,0.6398207006716664,0.803921568627451,0.7884615384615384,3.8015553286341457,0.34144548310864997,0.6925466656684875
xapi,xapi,gated_k3_c32_h64_attn_cw,gated_fusion_v28,fusion,1,3,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.7395833333333334,0.7461440861223575,0.7643343653250773,0.7512853705086714,0.88,0.8543689320388349,3.056541823150252,0.5695665826692433,0.7385962605476379
xapi,xapi,gated_k3_c32_h64_attn_cw,gated_fusion_v28,fusion,2,3,32,64,attention,class_weight,none_class_weight,0.2,64,0.3,0.7395833333333334,0.7409090909090909,0.7668804363850802,0.7474313337727971,0.9215686274509803,0.8468468468468469,3.264191770816578,0.5144651219279288,0.7700121998786926
