dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,outer_test_used
uci,0,2026,S2,SVM,0.8671583638527959,0.7307692307692307,0.6229508196721312,0.9014084507042254,0.0417873838415801,0.06990321868455344,False
uci,0,2026,S2,MLP,0.8436273578753472,0.7142857142857143,0.6557377049180327,0.8873239436619719,0.09674538933413025,0.0935444655754538,False
uci,1,42,S0,LR,0.5144198469971109,0.4774774774774775,0.8983050847457628,0.5735294117647058,0.16442932869136545,0.16698810239423695,False
uci,1,42,S0,DT,0.4634926499510092,0.5421686746987951,0.7627118644067796,0.7205882352941176,0.19155364162297586,0.19621453053347637,False
uci,1,42,S0,RF,0.5617669084404565,0.5614035087719298,0.8135593220338984,0.7242647058823529,0.11148626371595419,0.13478674269923463,False
uci,1,42,S0,SVM,0.5386474915289402,0.47368421052631576,0.9152542372881356,0.5588235294117647,0.05534862024064459,0.13431920609907746,False
uci,1,42,S0,MLP,0.520890411083211,0.5116279069767442,0.559322033898305,0.7683823529411765,0.17076732718330662,0.17427942048291076,False
uci,1,42,S1,LR,0.8368225973647184,0.7226890756302521,0.7288135593220338,0.8786764705882353,0.08939225097582061,0.09721277735762798,False
uci,1,42,S1,DT,0.7502358724691726,0.6915887850467289,0.6271186440677966,0.8786764705882353,0.08174141217576233,0.09132289270042823,False
uci,1,42,S1,RF,0.8398974940941296,0.7192982456140351,0.6949152542372882,0.8823529411764706,0.04676257722444728,0.07793213414312469,False
uci,1,42,S1,SVM,0.8276474806678993,0.6909090909090909,0.6440677966101694,0.875,0.059764645986309074,0.08146153020419869,False
uci,1,42,S1,MLP,0.7923908051000514,0.7230769230769231,0.7966101694915254,0.8676470588235294,0.10336697511810686,0.10310154408284401,False
uci,1,42,S2,LR,0.927914625500575,0.8333333333333334,0.7627118644067796,0.9338235294117647,0.04250822232118414,0.05456890921935201,False
uci,1,42,S2,DT,0.874548961014386,0.7659574468085106,0.9152542372881356,0.8786764705882353,0.07597626692416186,0.0720237459458518,False
uci,1,42,S2,RF,0.9245174289674983,0.8113207547169812,0.7288135593220338,0.9264705882352942,0.07181400104926904,0.05660813493232587,False
uci,1,42,S2,SVM,0.9181467303287368,0.723404255319149,0.576271186440678,0.9044117647058824,0.039392580564405734,0.05531133825859051,False
uci,1,42,S2,MLP,0.9236011914785032,0.8173913043478261,0.7966101694915254,0.9227941176470589,0.06728059545931445,0.06468265396646239,False
