dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,fold,status,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.5884615384615385,0.4940397575264994,0.42478062742439643,0.4366910866910867,0.2,0.2857142857142857,3.7581961712420577,-0.28633710160040193,0.7122716903686523,12.691041927196315,-13.668660675937089
student-por,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.5752895752895753,0.48112961659759684,0.46943037002917243,0.47470044118163934,0.4,0.42105263157894735,3.818012582119142,-0.592067944852199,0.6899585127830505,12.2899203101441,-15.496242088669238
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.573076923076923,0.4783818236880841,0.4231339208375701,0.43518769583710554,0.225,0.3050847457627119,3.7482046984574446,-0.2795065281151523,0.6690853238105774,12.654719250461257,-13.58481530536226
student-por,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.5637065637065637,0.4693877551020407,0.4799631506218332,0.4719890863635445,0.5,0.449438202247191,3.9442299383973305,-0.6990702600438943,0.6523710489273071,12.282021142066224,-15.475043462593703
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.5923076923076923,0.49470785181985094,0.4224833352163597,0.4351648351648352,0.2,0.2857142857142857,3.759730964188385,-0.2873879590596713,0.7296888828277588,12.270113651658596,-12.711755966733923
student-por,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.5637065637065637,0.45829450139794975,0.4667204053431598,0.45874108976682365,0.5,0.45454545454545453,3.7496460579427437,-0.5355622887509688,0.7071783542633057,12.634045170484686,-16.43298427015574
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,1,evaluated,0.8269230769230769,0.7893279480346435,0.8104159605317666,0.7971509971509971,0.725,0.7435897435897436,2.567548965902635,0.3996101049375481,0.8108354806900024,12.13652138292142,-12.414804731014383
student-por,midterm,fusion_cnn_bilstm_context,default,0.15,0.0001,True,2,evaluated,0.7953667953667953,0.7835262345679013,0.6816712728389375,0.7195541006364566,0.475,0.5671641791044776,2.4151628481350036,0.3629408958587049,0.7967460751533508,12.780525420147622,-16.839566820207732
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,1,evaluated,0.9,0.8776177876804531,0.8800267389748804,0.878212226850545,0.85,0.8192771084337349,2.4388679593362417,0.45828297974674337,0.8524641394615173,12.37928648063137,-12.956841018497894
student-por,late,sequence_cnn_bilstm_only,default,0.15,0.0001,True,2,evaluated,0.8571428571428571,0.8534900284900285,0.7946376477813604,0.817845531029969,0.725,0.725,2.3944917484908426,0.3737992588781577,0.8858593702316284,12.354961123945147,-15.67130719318897
student-por,late,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.6423076923076924,0.5342240975152367,0.3948678115467179,0.3868562483488492,0.175,0.25925925925925924,3.5075468087232444,-0.12047676594575152,0.6817760467529297,12.281856468855514,-12.738013537924504
student-por,late,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.6640926640926641,0.6359126984126985,0.46621372639336717,0.4500736262884601,0.45,0.5,3.2537474682084024,-0.15625753007144216,0.6636765003204346,12.450724648054292,-15.930747975618623
student-por,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.7384615384615385,0.6875217577862515,0.5903297179226453,0.6171188296821706,0.275,0.3728813559322034,2.9606392241177604,0.20169861677518797,0.767620861530304,12.212721774883667,-12.583786003640968
student-por,late,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.7335907335907336,0.6637096774193548,0.6616229080300936,0.6589589777470795,0.4,0.4507042253521127,2.796681707207413,0.1457736354696485,0.7460419535636902,12.515103821206154,-16.106288852953114
student-por,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.6807692307692308,0.6225076973664544,0.5393335969570293,0.542726468288266,0.175,0.2692307692307692,3.1331048743771976,0.10598301652675446,0.7166542410850525,12.223218535304778,-12.607146402037742
student-por,late,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.7142857142857143,0.6478605935127674,0.6637494242284662,0.655299608551641,0.5,0.4878048780487805,3.0879951887453267,-0.04145406086577097,0.6828258633613586,12.501156960341454,-16.068183520798275
student-por,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.6692307692307692,0.5986817310699308,0.5562403494896998,0.5703883335633498,0.35,0.42424242424242425,3.4113780206831374,-0.05987731912789607,0.7345316410064697,12.341262792573865,-12.871234219312443
student-por,late,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.6563706563706564,0.5811331624848521,0.5764240749270689,0.5782317152368539,0.5,0.4878048780487805,3.5149982013099743,-0.34938880241743786,0.7139588594436646,12.465239128165468,-15.970245153248086
student-por,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,1,evaluated,0.8961538461538462,0.8741286825624175,0.8759867058336157,0.8749107757546576,0.825,0.8354430379746836,2.409316851787596,0.47133112653266884,0.8688669204711914,12.095606760336286,-12.324509251030767
student-por,late,fusion_cnn_bilstm_context,default,0.15,0.0001,True,2,evaluated,0.8571428571428571,0.851271075990177,0.8009749731306618,0.8198752584754706,0.75,0.7317073170731707,2.4057524368988568,0.36789568286758145,0.8753468990325928,12.751376603848097,-16.75828545673877
