dataset,scenario,baseline_selected_by,baseline_model,baseline_strategy,baseline_locked_macro_f1,baseline_locked_recall_low,baseline_locked_f1_low,deep_variant,deep_config_id,deep_prediction_mode,deep_cv_selected,deep_locked_macro_f1,deep_locked_recall_low,deep_locked_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_f1_tuned,False,0.36835836270864525,0.55,0.3728813559322034,-0.01398429991915634,0.15000000000000002,0.05915586573612497
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_recall_priority,False,0.32442773457897783,0.7,0.3373493975903614,-0.057914928048823755,0.29999999999999993,0.023623907394282995
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.0001_fs1,argmax,False,0.40658559332206806,0.2,0.2962962962962963,0.024242930694266474,-0.2,-0.017429193899782147
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_threshold_tuned,False,0.3280004142073108,0.7,0.3218390804597701,-0.05434224842049079,0.29999999999999993,0.008113590263691683
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_f1_tuned,False,0.3627923345170682,0.55,0.3188405797101449,-0.019550328110733373,0.15000000000000002,0.005115089514066473
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_recall_priority,False,0.3280004142073108,0.7,0.3218390804597701,-0.05434224842049079,0.29999999999999993,0.008113590263691683
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.001_fs0,argmax,False,0.46874999999999994,0.25,0.3125,0.08640733737219836,-0.15000000000000002,-0.001225490196078427
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.001_fs0,low_threshold_tuned,False,0.38431241041017344,0.65,0.30952380952380953,0.0019697477823718557,0.25,-0.004201680672268893
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.001_fs0,low_f1_tuned,True,0.47583774250440913,0.3,0.34285714285714286,0.09349507987660755,-0.10000000000000003,0.029131652661064433
student-por,early,cv_macro_f1_recall_low_f1_low,xgboost,class_weight,0.3823426626278016,0.4,0.3137254901960784,context_mlp_v2,dropout0.25_wd0.001_fs0,low_recall_priority,False,0.38431241041017344,0.65,0.30952380952380953,0.0019697477823718557,0.25,-0.004201680672268893
