candidate_id,seed,outer_fold,class_label,precision,recall,f1,support
N2,42,3,0,0.84,1.0,0.9130434782608695,21
N2,42,3,1,0.8709677419354839,0.8709677419354839,0.8709677419354839,31
N2,42,3,2,1.0,0.6363636363636364,0.7777777777777778,11
N2,42,4,0,0.9230769230769231,0.6,0.7272727272727273,20
N2,42,4,1,0.7575757575757576,0.8064516129032258,0.78125,31
N2,42,4,2,0.7058823529411765,1.0,0.8275862068965517,12
N2,123,0,0,0.8181818181818182,0.8571428571428571,0.8372093023255814,21
N2,123,0,1,0.9,0.8709677419354839,0.8852459016393442,31
N2,123,0,2,1.0,1.0,1.0,12
N2,123,1,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
N2,123,1,1,0.8695652173913043,0.6666666666666666,0.7547169811320755,30
N2,123,1,2,0.631578947368421,1.0,0.7741935483870968,12
N2,123,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
N2,123,2,1,0.8666666666666667,0.8387096774193549,0.8524590163934426,31
N2,123,2,2,0.8333333333333334,0.9090909090909091,0.8695652173913043,11
N2,123,3,0,0.84,1.0,0.9130434782608695,21
N2,123,3,1,0.7941176470588235,0.8709677419354839,0.8307692307692308,31
N2,123,3,2,1.0,0.36363636363636365,0.5333333333333333,11
N2,123,4,0,0.8181818181818182,0.9,0.8571428571428571,20
N2,123,4,1,0.9166666666666666,0.7096774193548387,0.8,31
N2,123,4,2,0.7058823529411765,1.0,0.8275862068965517,12
N2,155,0,0,0.7619047619047619,0.7619047619047619,0.7619047619047619,21
N2,155,0,1,0.8125,0.8387096774193549,0.8253968253968254,31
N2,155,0,2,1.0,0.9166666666666666,0.9565217391304348,12
N2,155,1,0,0.9375,0.7142857142857143,0.8108108108108109,21
N2,155,1,1,0.7647058823529411,0.8666666666666667,0.8125,30
N2,155,1,2,0.7692307692307693,0.8333333333333334,0.8,12
N2,155,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,21
N2,155,2,1,0.8571428571428571,0.7741935483870968,0.8135593220338984,31
N2,155,2,2,0.7142857142857143,0.9090909090909091,0.8,11
N2,155,3,0,0.8695652173913043,0.9523809523809523,0.9090909090909091,21
N2,155,3,1,0.7777777777777778,0.9032258064516129,0.835820895522388,31
N2,155,3,2,1.0,0.36363636363636365,0.5333333333333333,11
N2,155,4,0,0.8181818181818182,0.9,0.8571428571428571,20
N2,155,4,1,0.8709677419354839,0.8709677419354839,0.8709677419354839,31
N2,155,4,2,1.0,0.8333333333333334,0.9090909090909091,12
N3,42,0,0,0.782608695652174,0.8571428571428571,0.8181818181818182,21
N3,42,0,1,0.896551724137931,0.8387096774193549,0.8666666666666667,31
N3,42,0,2,1.0,1.0,1.0,12
N3,42,1,0,0.3333333333333333,1.0,0.5,21
N3,42,1,1,0.0,0.0,0.0,30
N3,42,1,2,0.0,0.0,0.0,12
N3,42,2,0,0.7916666666666666,0.9047619047619048,0.8444444444444444,21
N3,42,2,1,0.9230769230769231,0.7741935483870968,0.8421052631578947,31
N3,42,2,2,0.8461538461538461,1.0,0.9166666666666666,11
N3,42,3,0,0.84,1.0,0.9130434782608695,21
