domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
oulad,XGB,1,1201,75pct,0.8956719312910808,0.9168565685933265,0.7915735716565592,0.7151095732410612,0.5824682814302191,5114,0.33906922174423154,1,True
oulad,XGB,1,1201,100pct,0.9234521669842568,0.9400705777259355,0.844,0.7897691827822833,0.6219588271990019,4983,0.3216937587798515,1,True
oulad,CatBoost,1,1201,20pct,0.7724581360426677,0.7962465423887728,0.6822081916788085,0.8308359621451105,0.3998422712933754,5914,0.4288129861345959,1,True
oulad,CatBoost,1,1201,35pct,0.8098877205691135,0.834357376130116,0.7081939799331104,0.7455985915492958,0.44630281690140844,5651,0.40205273402937536,1,True
oulad,CatBoost,1,1201,50pct,0.8546022792783411,0.8777097738336451,0.7375201288244766,0.7808085728202631,0.501704822211398,5433,0.3778759433094055,1,True
oulad,CatBoost,1,1201,75pct,0.8963673065978827,0.9189543621137978,0.7921239509360878,0.7076124567474048,0.5795847750865052,5114,0.33906922174423154,1,True
oulad,CatBoost,1,1201,100pct,0.9208759477865334,0.9388282694799324,0.8314917127071824,0.7510917030567685,0.620711166562695,4983,0.3216937587798515,1,True
oulad,MLP,1,1201,20pct,0.750456248482317,0.7764073014663446,0.6755805770584096,0.7570977917981072,0.3824921135646688,5914,0.4288129861345959,1,True
oulad,MLP,1,1201,35pct,0.787666863284024,0.8164163286912955,0.6861083743842364,0.7662852112676056,0.43133802816901406,5651,0.40205273402937536,1,True
oulad,MLP,1,1201,50pct,0.8417168093215017,0.8658851096821796,0.7294336984385924,0.7622990745250853,0.49147588894301025,5433,0.3778759433094055,1,True
oulad,MLP,1,1201,75pct,0.8899679763721081,0.9115022897429073,0.7892349561536135,0.7525951557093425,0.577277970011534,5114,0.33906922174423154,1,True
oulad,MLP,1,1201,100pct,0.9189152332984363,0.9351639123389208,0.8346720214190094,0.7779164067373674,0.620711166562695,4983,0.3216937587798515,1,True
oulad,LR,1,2026,20pct,0.7628520243422937,0.7911566631740357,0.6833907197901296,0.8217665615141956,0.39313880126182965,5914,0.4288129861345959,1,True
oulad,LR,1,2026,35pct,0.8025046112722346,0.8301974654973343,0.7069182389937106,0.7420774647887324,0.44058098591549294,5651,0.40205273402937536,1,True
oulad,LR,1,2026,50pct,0.8469874554928586,0.8735860639791099,0.7357142857142858,0.7023867510959572,0.4943984413054067,5433,0.3778759433094055,1,True
oulad,LR,1,2026,75pct,0.886898787267237,0.9111204384294618,0.7807103290974259,0.6908881199538639,0.5784313725490197,5114,0.33906922174423154,1,True
oulad,LR,1,2026,100pct,0.9167406249240625,0.932771578438357,0.8306934178106301,0.7361197754210854,0.6200873362445415,4983,0.3216937587798515,1,True
oulad,DT,1,2026,20pct,0.7195658412894047,0.7499562837473128,0.656745079212674,0.8091482649842271,0.3698738170347003,5914,0.4288129861345959,1,True
oulad,DT,1,2026,35pct,0.7613831609766826,0.7860661490398442,0.66142336466526,0.7588028169014085,0.4300176056338028,5651,0.40205273402937536,1,True
oulad,DT,1,2026,50pct,0.8116076536805951,0.8380366298993823,0.6949152542372882,0.7588894301022894,0.49488553336580615,5433,0.3778759433094055,1,True
oulad,DT,1,2026,75pct,0.859963995151815,0.8885529916804872,0.7732919254658385,0.7179930795847751,0.5749711649365629,5114,0.33906922174423154,1,True
oulad,DT,1,2026,100pct,0.8908405711409879,0.9141955541938748,0.8047058823529412,0.7467248908296943,0.6182158452900811,4983,0.3216937587798515,1,True
