domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,MLP,1,42,S2,0.8098887848174682,0.9269662921348314,0.75,0.7090909090909091,0.6909090909090909,233,0.23605150214592274,1,True
uci,LR,1,1201,S0,0.3916815093631808,0.642288049029622,0.28888888888888886,0.23636363636363636,0.3090909090909091,233,0.23605150214592274,1,True
uci,LR,1,1201,S1,0.7496185999093763,0.904187946884576,0.7014925373134329,0.8545454545454545,0.6181818181818182,233,0.23605150214592274,1,True
uci,LR,1,1201,S2,0.8984159067102045,0.959244126659857,0.7964601769911505,0.8181818181818182,0.7272727272727273,233,0.23605150214592274,1,True
uci,DT,1,1201,S0,0.4619494069253872,0.7620020429009192,0.4842105263157895,0.8363636363636363,0.45454545454545453,233,0.23605150214592274,1,True
uci,DT,1,1201,S1,0.7569293005777741,0.9242083758937693,0.7358490566037735,0.7090909090909091,0.6545454545454545,233,0.23605150214592274,1,True
uci,DT,1,1201,S2,0.8321756718535571,0.9398365679264556,0.7358490566037735,0.7090909090909091,0.6727272727272727,233,0.23605150214592274,1,True
uci,RF,1,1201,S0,0.45762495443511775,0.7895812053115423,0.5575757575757576,0.8363636363636363,0.41818181818181815,233,0.23605150214592274,1,True
uci,RF,1,1201,S1,0.693974054958148,0.930949948927477,0.7307692307692307,0.6909090909090909,0.6545454545454545,233,0.23605150214592274,1,True
uci,RF,1,1201,S2,0.8469538878569045,0.9555669050051072,0.72,0.6545454545454545,0.6909090909090909,233,0.23605150214592274,1,True
uci,SVM,1,1201,S0,0.3233544784550625,0.629826353421859,0.3969465648854962,0.4727272727272727,0.2909090909090909,233,0.23605150214592274,1,True
uci,SVM,1,1201,S1,0.6931683143322461,0.8881511746680286,0.6923076923076923,0.8181818181818182,0.6,233,0.23605150214592274,1,True
uci,SVM,1,1201,S2,0.8201754829205601,0.9271705822267621,0.7538461538461538,0.8909090909090909,0.6727272727272727,233,0.23605150214592274,1,True
uci,XGB,1,1201,S0,0.44292107222525257,0.7577119509703779,0.5362318840579711,0.6727272727272727,0.41818181818181815,233,0.23605150214592274,1,True
uci,XGB,1,1201,S1,0.7316455706744686,0.9163432073544433,0.6721311475409836,0.7454545454545455,0.6363636363636364,233,0.23605150214592274,1,True
uci,XGB,1,1201,S2,0.8648353847404723,0.9519918283963227,0.7454545454545455,0.7454545454545455,0.6545454545454545,233,0.23605150214592274,1,True
uci,CatBoost,1,1201,S0,0.4091024075318015,0.7324821246169562,0.5139664804469274,0.8363636363636363,0.36363636363636365,233,0.23605150214592274,1,True
uci,CatBoost,1,1201,S1,0.7247633498742979,0.9252298263534218,0.6597938144329897,0.5818181818181818,0.6363636363636364,233,0.23605150214592274,1,True
uci,CatBoost,1,1201,S2,0.8636964616492689,0.9540347293156283,0.773109243697479,0.8363636363636363,0.7272727272727273,233,0.23605150214592274,1,True
uci,MLP,1,1201,S0,0.42437919818029457,0.6386108273748723,0.4166666666666667,0.5454545454545454,0.38181818181818183,233,0.23605150214592274,1,True
