interactions,learning_rate,max_bins,max_rounds,min_samples_leaf,config_id,ndcg_at_3,exact_best_top1,pairwise_accuracy,query_count,elapsed_seconds
5,0.05,64,10000,20,f5bbf057aa2c,0.9720758302580871,0.81,0.8571428571428571,300,48.37630748748779
5,0.025,256,5000,20,db448a7cedf1,0.9720672337931506,0.8133333333333334,0.8532934131736527,300,54.977824687957764
5,0.025,256,10000,20,d522eff40e28,0.9720672337931506,0.8133333333333334,0.8532934131736527,300,54.49282264709473
10,0.05,256,2000,2,d44ae186f510,0.972052711319826,0.8033333333333333,0.8526063511084482,300,90.52965545654297
10,0.05,256,5000,2,d3d57fb8fee0,0.972052711319826,0.8033333333333333,0.8526063511084482,300,90.56984210014343
10,0.05,256,10000,2,bb570a5ddff3,0.972052711319826,0.8033333333333333,0.8526063511084482,300,90.10628342628479
5,0.05,64,2000,20,14f00a474051,0.9720466852936092,0.81,0.8571428571428571,300,46.69880986213684
5,0.025,256,5000,10,75da8189c5c6,0.972028540167485,0.8033333333333333,0.8526063511084482,300,73.89407706260681
5,0.025,256,10000,10,6d0879ba5d47,0.972028540167485,0.8033333333333333,0.8526063511084482,300,76.30400109291077
0,0.01,64,2000,20,a286a43f0b10,0.9720051251782384,0.8033333333333333,0.8572285542891421,300,18.569382190704346
5,0.01,128,2000,10,b92021568680,0.9719857286232294,0.7966666666666666,0.8603954463750749,300,76.8388831615448
3,0.05,256,2000,2,e03927a2befc,0.9719692422942614,0.7966666666666666,0.8565426170468188,300,42.75027132034302
3,0.01,64,2000,20,ebe01ad3c2bf,0.9719657897218371,0.8,0.855515587529976,300,51.35296678543091
3,0.01,256,5000,5,ec252e260554,0.9719493509487475,0.8033333333333333,0.8601440576230492,300,88.81858134269714
3,0.05,256,2000,20,309af2b4ab51,0.9719464120620397,0.8066666666666666,0.848502994011976,300,35.6731641292572
3,0.05,256,5000,20,c8fc06a03dfd,0.9719464120620397,0.8066666666666666,0.848502994011976,300,51.44548678398132
3,0.05,256,10000,20,c819e0a3b3e8,0.9719464120620397,0.8066666666666666,0.848502994011976,300,57.22017216682434
10,0.025,256,2000,20,ac99f60bff92,0.9719293680767879,0.81,0.8531175059952039,300,98.97974014282227
3,0.01,256,10000,5,e9898058aa1a,0.9719277992306974,0.8033333333333333,0.8595438175270108,300,109.61078691482544
10,0.025,256,5000,20,377bd1d9fce7,0.9719276863091691,0.81,0.8525179856115108,300,112.61026954650879
10,0.025,256,10000,20,0699c5003d62,0.9719276863091691,0.81,0.8525179856115108,300,113.15723419189453
3,0.01,256,2000,2,6fd6da0a8028,0.9719114297675546,0.7866666666666666,0.8628983764281419,300,62.277689695358276
