model_id,model_family,prediction_stage,cohort,common_base_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,pr_auc,roc_auc,brier,nll,ece,tn,fp,fn,tp,eligible_count,positive_count,negative_count,coverage
random_forest_oulad,random_forest,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8398386766012714,0.8359170970895322,0.8263527302896523,0.8359170970895322,0.8303367278002625,0.8409941706640169,0.7614773904038661,0.821142750790992,0.7901853676009671,0.8912280701754386,0.8506914433880726,0.8704880879995578,0.8506914433880726,0.9037459751954008,0.9166716030776503,0.09825828832475124,0.31864821018258244,0.02582404110490097,7874,1382,961,4412,14629,5373,9256,1.0
random_forest_oulad,random_forest,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.8049080593341992,0.790628773690148,0.7900439208978349,0.790628773690148,0.7903333697716227,0.8050063071767263,0.7332839414706427,0.7368323096966313,0.7350538432974378,0.8468039003250271,0.8444252376836646,0.8456128962458076,0.8444252376836646,0.8473788384024677,0.8725693856297718,0.12874594889751764,0.4045969284748158,0.03704039362525441,7816,1440,1414,3959,14629,5373,9256,1.0
svm_oulad,svm,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7448219290450475,0.7049660475462237,0.7288258448060103,0.7049660475462237,0.7120683794968541,0.7378450379677975,0.6897269782508099,0.5548110924995348,0.6149561629706034,0.7679247113612109,0.8551210025929127,0.8091805960231049,0.8551210025929127,0.7024294848297482,0.7805882947179317,0.18198000312959556,0.5447684136171629,0.05719976998083681,7915,1341,2392,2981,14629,5373,9256,1.0
svm_oulad,svm,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7792056873333789,0.7514228123877493,0.7648322160671731,0.7514228123877493,0.7567031199186217,0.7763429197099235,0.7229040981901393,0.646752279918109,0.6827111984282908,0.8067603339442069,0.8560933448573897,0.8306950414089527,0.8560933448573897,0.7855029694277071,0.8329714672630092,0.15481643541173307,0.4754097436207795,0.04474645681064263,7924,1332,1898,3475,14629,5373,9256,1.0
svm_oulad,svm,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8412741814204662,0.8383788178866096,0.8278431402115085,0.8383788178866096,0.8321259820385554,0.8425278731659228,0.7611710323574731,0.8274706867671692,0.7929373996789727,0.8945152480655439,0.8492869490060502,0.8713145643981379,0.8492869490060502,0.897004240607035,0.910635257178366,0.10033679032513752,0.33960035116406573,0.03937442984290104,7861,1395,927,4446,14629,5373,9256,1.0
svm_oulad,svm,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.8052498461959122,0.7924604234559912,0.7902312346114805,0.7924604234559912,0.7913011427801461,0.8056223525536574,0.7305443916697114,0.7442769402568398,0.7373467318152485,0.8499180775532496,0.8406439066551427,0.8452555537450437,0.8406439066551427,0.8412256964164782,0.8712676510372858,0.1293168458328757,0.41117468924352824,0.02446281806210374,7781,1475,1374,3999,14629,5373,9256,1.0
xgboost_oulad,xgboost,E1_EARLY_20PCT,COMMON_ALL_STAGE_COHORT,14629,0.7485132271515483,0.7074926856665607,0.7340018437820363,0.7074926856665607,0.7151284536931313,0.7410136524429383,0.6993879472693032,0.5529499348594826,0.6176073173266812,0.7686157402947693,0.8620354364736387,0.8126495900595814,0.8620354364736387,0.7343728185383636,0.7934174537980082,0.17248111919119513,0.518687107541839,0.05437287579852905,7979,1277,2402,2971,14629,5373,9256,1.0
xgboost_oulad,xgboost,E2_EARLY_35PCT,COMMON_ALL_STAGE_COHORT,14629,0.7805728347802311,0.7557824575356054,0.7653757290912819,0.7557824575356054,0.7598111575812556,0.7785550758708677,0.7182643794147326,0.6623860040945468,0.6891944229279628,0.8124870787678313,0.8491789109766638,0.8304278922345484,0.8491789109766638,0.8025164676461731,0.8411754807038812,0.1486424406041913,0.45599422882311463,0.04300770635421031,7860,1396,1814,3559,14629,5373,9256,1.0
xgboost_oulad,xgboost,L1_LATE_75PCT,COMMON_ALL_STAGE_COHORT,14629,0.8397703192289289,0.8377759825730013,0.8263021129557698,0.8377759825730013,0.8308301135001556,0.8411526882384329,0.756999830307144,0.8302624232272473,0.7919403515000888,0.8956043956043956,0.8452895419187554,0.8697198755002223,0.8452895419187554,0.9075969495049607,0.9207222449840032,0.0955272073909552,0.30988924614527186,0.01098039389752634,7824,1432,912,4461,14629,5373,9256,1.0
xgboost_oulad,xgboost,M1_MIDDLE_FROZEN,COMMON_ALL_STAGE_COHORT,14629,0.8040194134937453,0.7909024981818726,0.7889406930923359,0.7909024981818726,0.7898869315784995,0.8043509345507976,0.7294031490296594,0.7414852037967616,0.7353945546838948,0.8484782371550126,0.8403197925669835,0.8443793084731043,0.8403197925669835,0.8528721455007742,0.8774977837424904,0.12536120524264033,0.39245257484279494,0.018251090701657986,7778,1478,1389,3984,14629,5373,9256,1.0
