model_id,model_family,prediction_stage,threshold_policy,class_name,outer_fold,precision,recall,f1,support
svm_oulad,svm,L1_LATE_75PCT,FIXED_0_5,At-risk,1.0,0.9047427614105795,0.7176686669052296,0.8004029284113692,1791.6666666666667
svm_oulad,svm,L1_LATE_75PCT,FIXED_0_5,Not-at-risk,1.0,0.8536541685927617,0.9561517674631768,0.9019930896883229,3086.6666666666665
svm_oulad,svm,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.76116603316361,0.8284811907628772,0.7933564754112806,1791.6666666666667
svm_oulad,svm,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8950875762698759,0.8491443012860058,0.8714930156596207,3086.6666666666665
svm_oulad,svm,M1_MIDDLE_FROZEN,FIXED_0_5,At-risk,1.0,0.8239597012686218,0.6732368974730426,0.7409646017354617,2039.3333333333333
svm_oulad,svm,M1_MIDDLE_FROZEN,FIXED_0_5,Not-at-risk,1.0,0.8074216552007453,0.9049776909951843,0.8534058321615747,3086.6666666666665
svm_oulad,svm,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.75504912960759,0.7417372292335905,0.7483088775731255,2039.3333333333333
svm_oulad,svm,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.8313544078884547,0.8410492541250832,0.8361617373754622,3086.6666666666665
xgboost_oulad,xgboost,E1_EARLY_20PCT,FIXED_0_5,At-risk,1.0,0.7454023586820702,0.5720389575316873,0.6472880556352534,2436.6666666666665
xgboost_oulad,xgboost,E1_EARLY_20PCT,FIXED_0_5,Not-at-risk,1.0,0.7145098689014846,0.8457265544755468,0.7745925569875914,3085.3333333333335
xgboost_oulad,xgboost,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,At-risk,1.0,0.7584671629988016,0.5488876663744602,0.6367580897289277,2436.6666666666665
xgboost_oulad,xgboost,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,Not-at-risk,1.0,0.7076377081723724,0.8619360925581653,0.7771721091671168,3085.3333333333335
xgboost_oulad,xgboost,E2_EARLY_35PCT,FIXED_0_5,At-risk,1.0,0.7890449467496642,0.6025187538358089,0.6832678101974009,2229.0
xgboost_oulad,xgboost,E2_EARLY_35PCT,FIXED_0_5,Not-at-risk,1.0,0.7548059477316663,0.8836905402198448,0.814170284595046,3086.3333333333335
