prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,resampling_unit,conclusion
L1_LATE_75PCT,cnn_bilstm_oulad,cnn_only_oulad,nll,-0.001129462410376248,-0.001916607566732273,-0.0003287362903842217,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,bilstm_only_oulad,macro_f1,0.011506355948437217,0.008706485168732844,0.01428184406633693,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_recall,-0.014441586768929244,-0.01818515882422483,-0.010760568119883497,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,bilstm_only_oulad,risk_f1,0.008858185424230097,0.005763144934084216,0.011876904032417285,5000,id_student,CNN-BiLSTM higher
L1_LATE_75PCT,cnn_bilstm_oulad,bilstm_only_oulad,brier,0.0009781009733410909,0.0006739064618565538,0.0012748863046530337,5000,id_student,comparator higher
L1_LATE_75PCT,cnn_bilstm_oulad,bilstm_only_oulad,nll,0.0036350563585436165,0.0028071306879973975,0.004446518472903213,5000,id_student,comparator higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,logistic_regression_oulad,macro_f1,-0.002377599769021858,-0.006516318318773084,0.0016031166712471496,5000,id_student,insufficient evidence of difference
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,logistic_regression_oulad,risk_recall,0.028606715433761896,0.022410197720972184,0.03466016690739841,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,logistic_regression_oulad,risk_f1,0.002976793522057487,-0.0020020608341022594,0.007731877053718895,5000,id_student,insufficient evidence of difference
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,logistic_regression_oulad,brier,-0.0017757908930094886,-0.00268937273278519,-0.000858811452747486,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,logistic_regression_oulad,nll,-0.0052431776935896535,-0.007738902789358191,-0.002728384304560647,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,decision_tree_oulad,macro_f1,0.03230833510222673,0.02535114643376441,0.03907306341844305,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,decision_tree_oulad,risk_recall,0.1529198836138346,0.14246346139910784,0.16331325998548596,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,decision_tree_oulad,risk_f1,0.06364721801486899,0.05495141387043016,0.07226168950173295,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,decision_tree_oulad,brier,-0.03845134699551021,-0.041651442652629315,-0.03517106955274731,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,decision_tree_oulad,nll,-0.42311654201127696,-0.46083021792305096,-0.3878108410139121,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,random_forest_oulad,macro_f1,-0.0036255717670616123,-0.008365617416115675,0.0011435738304766928,5000,id_student,insufficient evidence of difference
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,random_forest_oulad,risk_recall,0.029562047606288513,0.02241631501785898,0.03690409242854988,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,random_forest_oulad,risk_f1,0.001912293311777441,-0.0037202155707505014,0.007567061242444073,5000,id_student,insufficient evidence of difference
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,random_forest_oulad,brier,0.0032642798439940514,0.0018907702589711756,0.00463910256845339,5000,id_student,comparator higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,random_forest_oulad,nll,0.007461444784505823,0.003134719766110686,0.011661057535661747,5000,id_student,comparator higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,hist_gradient_boosting_oulad,macro_f1,-0.007152916064217939,-0.011554488405853627,-0.0027114354248103365,5000,id_student,comparator higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_recall,0.031518272735905045,0.02470752067809747,0.03845011142279079,5000,id_student,CNN-BiLSTM higher
M1_MIDDLE_FROZEN,cnn_bilstm_oulad,hist_gradient_boosting_oulad,risk_f1,-0.0012603536819334885,-0.006563773589134458,0.004010487082726995,5000,id_student,insufficient evidence of difference
