dataset,task,stage,model,class_index,class_name,precision,recall,f1,support
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,xgboost,0.0,Low,0.52,0.26,0.3466666666666667,100.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,xgboost,1.0,Medium,0.6696750902527075,0.8875598086124402,0.7633744855967078,418.0
student_por,EARLY_WARNING,S0_EARLY_NO_GRADE,xgboost,2.0,High,0.4888888888888889,0.1679389312977099,0.25,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,decision_tree,0.0,Low,0.5774647887323944,0.82,0.6776859504132231,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,decision_tree,1.0,Medium,0.8702064896755162,0.7057416267942583,0.7793923381770145,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,decision_tree,2.0,High,0.625,0.8015267175572519,0.7023411371237458,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hist_gradient_boosting,0.0,Low,0.6049382716049383,0.49,0.5414364640883977,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hist_gradient_boosting,1.0,Medium,0.7838427947598253,0.8588516746411483,0.819634703196347,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hist_gradient_boosting,2.0,High,0.7545454545454545,0.6335877862595419,0.6887966804979253,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,0.0,Low,0.5569620253164557,0.88,0.6821705426356589,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,1.0,Medium,0.9093655589123868,0.7200956937799043,0.8037383177570093,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,hybrid,2.0,High,0.70625,0.8625954198473282,0.7766323024054983,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,0.0,Low,0.5793103448275863,0.84,0.6857142857142857,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,1.0,Medium,0.9101796407185628,0.7272727272727273,0.8085106382978723,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,logistic_regression,2.0,High,0.6882352941176471,0.8931297709923665,0.7774086378737541,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,mlp,0.0,Low,0.6896551724137931,0.6,0.6417112299465241,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,mlp,1.0,Medium,0.827354260089686,0.8827751196172249,0.8541666666666666,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,mlp,2.0,High,0.8103448275862069,0.7175572519083969,0.7611336032388664,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,0.0,Low,0.6106870229007634,0.8,0.6926406926406926,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,1.0,Medium,0.8997289972899729,0.7942583732057417,0.843710292249047,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,random_forest,2.0,High,0.7651006711409396,0.8702290076335878,0.8142857142857143,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,svm,0.0,Low,0.6736842105263158,0.64,0.6564102564102564,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,svm,1.0,Medium,0.8337182448036952,0.8636363636363636,0.8484136310223267,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,svm,2.0,High,0.7851239669421488,0.7251908396946565,0.753968253968254,131.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,0.0,Low,0.7325581395348837,0.63,0.6774193548387096,100.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,1.0,Medium,0.8394495412844036,0.8755980861244019,0.8571428571428571,418.0
student_por,EARLY_WARNING,S1_MID_G1_ONLY,xgboost,2.0,High,0.7716535433070866,0.7480916030534351,0.7596899224806202,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,0.0,Low,0.6083333333333333,0.73,0.6636363636363637,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,1.0,Medium,0.8984375,0.8253588516746412,0.8603491271820449,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,decision_tree,2.0,High,0.8206896551724138,0.9083969465648856,0.8623188405797102,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,0.0,Low,0.7222222222222222,0.65,0.6842105263157895,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,1.0,Medium,0.8724373576309795,0.916267942583732,0.8938156359393232,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hist_gradient_boosting,2.0,High,0.9166666666666666,0.8396946564885496,0.8764940239043825,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0.0,Low,0.6474820143884892,0.9,0.7531380753138075,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1.0,Medium,0.9613259668508288,0.8325358851674641,0.8923076923076924,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2.0,High,0.8581081081081081,0.9694656488549618,0.910394265232975,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,0.0,Low,0.6544117647058824,0.89,0.7542372881355932,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,1.0,Medium,0.9554317548746518,0.8205741626794258,0.8828828828828829,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,logistic_regression,2.0,High,0.8181818181818182,0.9618320610687024,0.8842105263157894,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,mlp,0.0,Low,0.7634408602150538,0.71,0.7357512953367875,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,mlp,1.0,Medium,0.9073634204275536,0.9138755980861244,0.9106078665077472,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,mlp,2.0,High,0.8962962962962963,0.9236641221374046,0.9097744360902256,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,random_forest,0.0,Low,0.711864406779661,0.84,0.7706422018348624,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,random_forest,1.0,Medium,0.935897435897436,0.8732057416267942,0.9034653465346536,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,random_forest,2.0,High,0.8652482269503546,0.931297709923664,0.8970588235294118,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,svm,0.0,Low,0.7714285714285715,0.54,0.6352941176470588,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,svm,1.0,Medium,0.8506493506493507,0.9401913875598086,0.8931818181818182,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,svm,2.0,High,0.9230769230769232,0.8244274809160306,0.8709677419354839,131.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,xgboost,0.0,Low,0.7701149425287356,0.67,0.7165775401069518,100.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,xgboost,1.0,Medium,0.8917050691244239,0.9258373205741628,0.908450704225352,418.0
student_por,EARLY_WARNING,S2_LATE_G1_G2,xgboost,2.0,High,0.9140625,0.8931297709923665,0.9034749034749034,131.0
