candidate_id,seed,outer_fold,actual,predicted,count
M1,155,1,2,1,2
M1,155,1,2,2,10
M1,155,2,0,0,18
M1,155,2,0,1,3
M1,155,2,0,2,0
M1,155,2,1,0,3
M1,155,2,1,1,27
M1,155,2,1,2,1
M1,155,2,2,0,0
M1,155,2,2,1,2
M1,155,2,2,2,9
M1,155,3,0,0,21
M1,155,3,0,1,0
M1,155,3,0,2,0
M1,155,3,1,0,4
M1,155,3,1,1,27
M1,155,3,1,2,0
M1,155,3,2,0,0
M1,155,3,2,1,2
M1,155,3,2,2,9
M1,155,4,0,0,14
M1,155,4,0,1,6
M1,155,4,0,2,0
M1,155,4,1,0,2
M1,155,4,1,1,29
M1,155,4,1,2,0
M1,155,4,2,0,0
M1,155,4,2,1,0
M1,155,4,2,2,12
M2,42,0,0,0,18
M2,42,0,0,1,3
M2,42,0,0,2,0
M2,42,0,1,0,4
M2,42,0,1,1,27
M2,42,0,1,2,0
M2,42,0,2,0,0
M2,42,0,2,1,0
M2,42,0,2,2,12
M2,42,1,0,0,16
M2,42,1,0,1,5
M2,42,1,0,2,0
M2,42,1,1,0,2
M2,42,1,1,1,28
M2,42,1,1,2,0
M2,42,1,2,0,0
M2,42,1,2,1,2
M2,42,1,2,2,10
M2,42,2,0,0,17
M2,42,2,0,1,4
M2,42,2,0,2,0
M2,42,2,1,0,2
M2,42,2,1,1,28
M2,42,2,1,2,1
M2,42,2,2,0,0
M2,42,2,2,1,2
M2,42,2,2,2,9
M2,42,3,0,0,21
M2,42,3,0,1,0
M2,42,3,0,2,0
M2,42,3,1,0,3
M2,42,3,1,1,28
M2,42,3,1,2,0
M2,42,3,2,0,0
M2,42,3,2,1,2
M2,42,3,2,2,9
M2,42,4,0,0,18
M2,42,4,0,1,2
M2,42,4,0,2,0
M2,42,4,1,0,4
M2,42,4,1,1,27
M2,42,4,1,2,0
M2,42,4,2,0,0
M2,42,4,2,1,1
M2,42,4,2,2,11
M2,123,0,0,0,18
M2,123,0,0,1,3
M2,123,0,0,2,0
M2,123,0,1,0,4
M2,123,0,1,1,27
M2,123,0,1,2,0
M2,123,0,2,0,0
M2,123,0,2,1,0
M2,123,0,2,2,12
M2,123,1,0,0,16
M2,123,1,0,1,5
M2,123,1,0,2,0
M2,123,1,1,0,2
M2,123,1,1,1,28
M2,123,1,1,2,0
M2,123,1,2,0,0
M2,123,1,2,1,2
M2,123,1,2,2,10
M2,123,2,0,0,17
M2,123,2,0,1,4
M2,123,2,0,2,0
M2,123,2,1,0,2
M2,123,2,1,1,28
M2,123,2,1,2,1
M2,123,2,2,0,0
M2,123,2,2,1,2
M2,123,2,2,2,9
M2,123,3,0,0,21
M2,123,3,0,1,0
M2,123,3,0,2,0
M2,123,3,1,0,3
M2,123,3,1,1,28
M2,123,3,1,2,0
M2,123,3,2,0,0
M2,123,3,2,1,2
M2,123,3,2,2,9
M2,123,4,0,0,18
M2,123,4,0,1,2
M2,123,4,0,2,0
M2,123,4,1,0,4
M2,123,4,1,1,27
M2,123,4,1,2,0
M2,123,4,2,0,0
M2,123,4,2,1,1
M2,123,4,2,2,11
M2,155,0,0,0,18
M2,155,0,0,1,3
M2,155,0,0,2,0
M2,155,0,1,0,4
M2,155,0,1,1,27
M2,155,0,1,2,0
M2,155,0,2,0,0
M2,155,0,2,1,0
M2,155,0,2,2,12
M2,155,1,0,0,16
M2,155,1,0,1,5
M2,155,1,0,2,0
M2,155,1,1,0,2
M2,155,1,1,1,28
M2,155,1,1,2,0
M2,155,1,2,0,0
M2,155,1,2,1,2
M2,155,1,2,2,10
M2,155,2,0,0,17
M2,155,2,0,1,4
M2,155,2,0,2,0
M2,155,2,1,0,2
M2,155,2,1,1,28
M2,155,2,1,2,1
M2,155,2,2,0,0
M2,155,2,2,1,2
M2,155,2,2,2,9
M2,155,3,0,0,21
