dataset,model_id,model_family,prediction_stage,class_name,precision,recall,f1,support
student_por,mlp_por,mlp,S1_MID_G1_ONLY,Medium,0.827354260089686,0.8827751196172249,0.8541666666666666,418
student_por,mlp_por,mlp,S1_MID_G1_ONLY,High,0.8103448275862069,0.7175572519083969,0.7611336032388664,131
student_por,mlp_por,mlp,S2_LATE_G1_G2,Low,0.7634408602150538,0.71,0.7357512953367875,100
student_por,mlp_por,mlp,S2_LATE_G1_G2,Medium,0.9073634204275535,0.9138755980861244,0.9106078665077473,418
student_por,mlp_por,mlp,S2_LATE_G1_G2,High,0.8962962962962963,0.9236641221374046,0.9097744360902256,131
student_por,random_forest_por,random_forest,S0_EARLY_NO_GRADE,Low,0.47619047619047616,0.6,0.5309734513274337,100
student_por,random_forest_por,random_forest,S0_EARLY_NO_GRADE,Medium,0.7566371681415929,0.4090909090909091,0.531055900621118,418
student_por,random_forest_por,random_forest,S0_EARLY_NO_GRADE,High,0.3333333333333333,0.7557251908396947,0.46261682242990654,131
student_por,random_forest_por,random_forest,S1_MID_G1_ONLY,Low,0.6106870229007634,0.8,0.6926406926406926,100
student_por,random_forest_por,random_forest,S1_MID_G1_ONLY,Medium,0.8997289972899729,0.7942583732057417,0.843710292249047,418
student_por,random_forest_por,random_forest,S1_MID_G1_ONLY,High,0.7651006711409396,0.8702290076335878,0.8142857142857143,131
student_por,random_forest_por,random_forest,S2_LATE_G1_G2,Low,0.711864406779661,0.84,0.7706422018348624,100
student_por,random_forest_por,random_forest,S2_LATE_G1_G2,Medium,0.9358974358974359,0.8732057416267942,0.9034653465346535,418
student_por,random_forest_por,random_forest,S2_LATE_G1_G2,High,0.8652482269503546,0.9312977099236641,0.8970588235294118,131
student_por,svm_por,svm,S0_EARLY_NO_GRADE,Low,0.4,0.24,0.3,100
student_por,svm_por,svm,S0_EARLY_NO_GRADE,Medium,0.6646942800788954,0.80622009569378,0.7286486486486486,418
student_por,svm_por,svm,S0_EARLY_NO_GRADE,High,0.4146341463414634,0.2595419847328244,0.3192488262910798,131
student_por,svm_por,svm,S1_MID_G1_ONLY,Low,0.6736842105263158,0.64,0.6564102564102564,100
student_por,svm_por,svm,S1_MID_G1_ONLY,Medium,0.8337182448036952,0.8636363636363636,0.8484136310223267,418
student_por,svm_por,svm,S1_MID_G1_ONLY,High,0.7851239669421488,0.7251908396946565,0.753968253968254,131
student_por,svm_por,svm,S2_LATE_G1_G2,Low,0.7714285714285715,0.54,0.6352941176470588,100
student_por,svm_por,svm,S2_LATE_G1_G2,Medium,0.8506493506493507,0.9401913875598086,0.8931818181818182,418
student_por,svm_por,svm,S2_LATE_G1_G2,High,0.9230769230769231,0.8244274809160306,0.8709677419354839,131
student_por,xgboost_por,xgboost,S0_EARLY_NO_GRADE,Low,0.52,0.26,0.3466666666666667,100
student_por,xgboost_por,xgboost,S0_EARLY_NO_GRADE,Medium,0.6696750902527075,0.8875598086124402,0.7633744855967078,418
student_por,xgboost_por,xgboost,S0_EARLY_NO_GRADE,High,0.4888888888888889,0.16793893129770993,0.25,131
student_por,xgboost_por,xgboost,S1_MID_G1_ONLY,Low,0.7325581395348837,0.63,0.6774193548387096,100
student_por,xgboost_por,xgboost,S1_MID_G1_ONLY,Medium,0.8394495412844036,0.8755980861244019,0.8571428571428571,418
student_por,xgboost_por,xgboost,S1_MID_G1_ONLY,High,0.7716535433070866,0.7480916030534351,0.7596899224806202,131
student_por,xgboost_por,xgboost,S2_LATE_G1_G2,Low,0.7701149425287356,0.67,0.7165775401069518,100
student_por,xgboost_por,xgboost,S2_LATE_G1_G2,Medium,0.8917050691244239,0.9258373205741627,0.9084507042253521,418
student_por,xgboost_por,xgboost,S2_LATE_G1_G2,High,0.9140625,0.8931297709923665,0.9034749034749034,131
