dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,seed_macro_f1_mean,seed_macro_f1_std,low_recall,low_f1,rank_macro_f1,rank_balanced_accuracy,rank_pr_auc,rank_low_recall,rank_low_f1
student_mat,decision_tree_mat,decision_tree,S2_LATE_G1_G2,0.8531645569620253,0.8632811585294462,0.861273701026608,0.8632811585294462,0.8622592618128332,0.8530565698739297,0.8829894461920739,0.937666477322114,0.22318435336554907,1.691736913519232,0.06938217521528053,22,23,0.8609083645171685,0.0011030030230947837,0.823076923076923,0.8262548262548263,4,6,9,6,7
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S0_EARLY_NO_GRADE,0.47341772151898737,0.43245448425242944,0.4482653111757257,0.43245448425242944,0.43788509698856953,0.46859671796974584,0.4512754091680242,0.6308231116959471,0.7527636039088074,1.5610410978497626,0.29338787209160205,55,68,0.43788509698856953,0.0,0.4230769230769231,0.4280155642023346,2,7,5,8,10
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S1_MID_G1_ONLY,0.6987341772151898,0.6873927965109473,0.7205613609975264,0.6873927965109473,0.7013662551440328,0.6985766526019691,0.76359946007293,0.8595660469884964,0.473494003599488,0.9533094470695932,0.1905616162655161,36,46,0.7013662551440328,0.0,0.6461538461538462,0.672,9,10,9,10,10
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,S2_LATE_G1_G2,0.8455696202531645,0.847926545486477,0.8611512046901937,0.847926545486477,0.8541729476977635,0.8457583130149042,0.9133284026583429,0.9491781801289294,0.253272571567745,0.5320120300524087,0.09250633028406638,22,25,0.8541729476977636,1.1102230246251565e-16,0.8076923076923077,0.8171206225680934,6,8,8,8,8
student_mat,logistic_regression_mat,logistic_regression,S0_EARLY_NO_GRADE,0.3949367088607595,0.4531813458611404,0.4280926583298125,0.4531813458611404,0.397920753696986,0.39277345524059487,0.44086295190762526,0.6308779765790441,0.6564080345197031,1.0658093889445301,0.13810914499044089,47,29,0.397920753696986,0.0,0.4846153846153846,0.50199203187251,10,3,7,3,3
student_mat,logistic_regression_mat,logistic_regression,S1_MID_G1_ONLY,0.7139240506329114,0.7543368018967334,0.7069754101347051,0.7543368018967334,0.7224065004705791,0.7104574339129004,0.8332899254484115,0.9003711751741313,0.36734013164224116,0.5676806348376364,0.07231390715598776,42,29,0.7224065004705791,0.0,0.7769230769230769,0.73992673992674,6,3,2,4,4
student_mat,logistic_regression_mat,logistic_regression,S2_LATE_G1_G2,0.8683544303797468,0.8896400450766889,0.8650226033367795,0.8896400450766889,0.875424555205976,0.8678193709943035,0.9570919924998228,0.9728332149001448,0.17493269758974245,0.29134962942716314,0.03670788294399992,24,14,0.8754245552059758,1.1102230246251565e-16,0.8923076923076924,0.8592592592592593,2,2,2,4,3
student_mat,mlp_mat,mlp,S0_EARLY_NO_GRADE,0.5037974683544304,0.41919088806931276,0.4835832083958021,0.41919088806931276,0.4218916160092631,0.47583550725769636,0.4557641223535322,0.6404319106266292,0.6113465478574491,1.0175185089299266,0.11917640332826882,37,81,0.4376892907743023,0.016608818072123804,0.36923076923076925,0.43636363636363634,6,8,4,10,9
student_mat,mlp_mat,mlp,S1_MID_G1_ONLY,0.7291139240506329,0.7273445732349842,0.7351293847723311,0.7273445732349842,0.7305771725709844,0.7290272836257705,0.8044830174511657,0.8903415787371936,0.3618564237018459,0.5804666744971884,0.06524037974276574,29,40,0.731638285250815,0.008188500099042366,0.6923076923076923,0.7228915662650602,4,6,5,7,7
student_mat,mlp_mat,mlp,S2_LATE_G1_G2,0.8455696202531645,0.8564168422901299,0.8531610750728698,0.8564168422901299,0.8546948231773134,0.8453151805257405,0.9425130125840933,0.9643682652161175,0.19823812005100971,0.3247743720196143,0.040480925424524083,22,25,0.8522240332891201,0.009781404517734233,0.8076923076923077,0.8171206225680934,5,7,6,8,8
