dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,rows
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,4,3407,0.8607594936708861,0.8860098965362123,0.844798313916047,0.8860098965362123,0.8577333436668475,0.8736052123945548,0.8607594936708861,0.8598903012448287,0.9764470921878492,0.9853121003972816,0.31619779167658446,0.1760871568151126,0.142137445249452,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1,3407,0.8734177215189873,0.894993894993895,0.8830717893217894,0.894993894993895,0.8839171683999271,0.8854286536248562,0.8734177215189873,0.8733813473010331,0.9431089714773847,0.9635081899232842,0.4025370716900958,0.2321928477556688,0.10852336997031892,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2,3407,0.8227848101265823,0.8529014844804319,0.8222222222222223,0.8529014844804319,0.8347384817973054,0.8223628691983123,0.8227848101265823,0.820751029239488,0.9396365358820397,0.9574180891410741,0.4025402499191108,0.24126527453606672,0.11444110231566773,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0,3407,0.8227848101265823,0.8760683760683761,0.8191269419339595,0.8760683760683761,0.82794042116076,0.8552951231165753,0.8227848101265823,0.8182273279891815,0.95586104799218,0.9689618033957657,0.41034869379492234,0.2521978399947368,0.08838472730624536,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,3,7319,0.8227848101265823,0.8462438146648673,0.8153186274509804,0.8462438146648673,0.8228955375253549,0.835228965003723,0.8227848101265823,0.8199716922997919,0.9562173427341637,0.9725269281901818,0.3884666442647324,0.221530838369518,0.1442048624590754,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,4,7319,0.8734177215189873,0.9082321187584346,0.8581369248035915,0.9082321187584346,0.8690494045654978,0.899173166261774,0.8734177215189873,0.8747117563903414,0.9680269256614032,0.9726084026366197,0.3827441263419096,0.2263382077116685,0.13300981994415,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,1,7319,0.8607594936708861,0.9017094017094017,0.8936507936507937,0.9017094017094017,0.8867506137641561,0.8895117540687161,0.8607594936708861,0.8619504317150409,0.9518968806086416,0.9687631027253669,0.37227360431947015,0.20555873345083697,0.097317989547665,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,2,7319,0.8607594936708861,0.8832658569500674,0.8624059353471117,0.8832658569500674,0.871454248366013,0.8600020124368599,0.8607594936708861,0.8595054604120129,0.9417596860042042,0.9607885514345176,0.3825183948541665,0.21914335400518745,0.10744092138238732,79
student_mat,EARLY_WARNING,S2_LATE_G1_G2,hybrid,0,7319,0.8481012658227848,0.8626373626373627,0.838514173998045,0.8626373626373627,0.8460375075620085,0.8559783213927763,0.8481012658227848,0.8467496764609035,0.9537579535749178,0.9721035777639552,0.34645842781065606,0.20712928547489143,0.07503078648602146,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,3,42,0.5063291139240507,0.3832658569500675,0.3545787545787546,0.3832658569500675,0.34045307443365697,0.4248713312004451,0.5063291139240507,0.43052722133464416,0.37966341273095106,0.5799425373619808,1.0048468513746158,0.6204462843390226,0.08792811693623828,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,4,42,0.5949367088607594,0.460863697705803,0.4351851851851852,0.460863697705803,0.42149929278642145,0.5140646976090014,0.5949367088607594,0.5214402091203695,0.43657999130684005,0.6400233734273884,1.1329257013865524,0.5697859225655765,0.03563940068189286,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,1,42,0.3924050632911392,0.373015873015873,0.3768890955591723,0.373015873015873,0.36985265948083956,0.4219389662103897,0.3924050632911392,0.40355026468133054,0.3714800502918507,0.5399644642569171,3.9952708800729955,0.8648477305440078,0.33320110357715993,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,2,42,0.3924050632911392,0.4052631578947368,0.39065656565656565,0.4052631578947368,0.3964702191644491,0.38873225930187955,0.3924050632911392,0.3888981089476837,0.47729457918114043,0.6003790128600526,2.7049991364238366,0.7819653440726684,0.3224274733833158,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0,42,0.5569620253164557,0.4230769230769231,0.39310562934851356,0.4230769230769231,0.3883644178371326,0.4757163788340979,0.5569620253164557,0.49098068476261814,0.4238216206818837,0.6263802497293063,0.9347318516590845,0.5678511240186469,0.07709131730732015,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,3,1201,0.5063291139240507,0.3832658569500675,0.3545787545787546,0.3832658569500675,0.34045307443365697,0.4248713312004451,0.5063291139240507,0.43052722133464416,0.37966341273095106,0.5799425373619808,1.0048468513746158,0.6204462843390226,0.08792811693623828,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,4,1201,0.5949367088607594,0.460863697705803,0.4351851851851852,0.460863697705803,0.42149929278642145,0.5140646976090014,0.5949367088607594,0.5214402091203695,0.43657999130684005,0.6400233734273884,1.1329257013865524,0.5697859225655765,0.03563940068189286,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,1,1201,0.3924050632911392,0.373015873015873,0.3768890955591723,0.373015873015873,0.36985265948083956,0.4219389662103897,0.3924050632911392,0.40355026468133054,0.3714800502918507,0.5399644642569171,3.9952708800729955,0.8648477305440078,0.33320110357715993,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,2,1201,0.379746835443038,0.3964912280701755,0.3793682795698925,0.3964912280701755,0.3858409464521519,0.3745661494487546,0.379746835443038,0.37479693517173907,0.46250980799476404,0.5901504253553249,2.7377985524869026,0.8068742680555476,0.32768366580491975,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0,1201,0.5569620253164557,0.4230769230769231,0.39310562934851356,0.4230769230769231,0.3883644178371326,0.4757163788340979,0.5569620253164557,0.49098068476261814,0.4238216206818837,0.6263802497293063,0.9347318516590845,0.5678511240186469,0.07709131730732015,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,3,2026,0.5063291139240507,0.3832658569500675,0.3545787545787546,0.3832658569500675,0.34045307443365697,0.4248713312004451,0.5063291139240507,0.43052722133464416,0.37966341273095106,0.5799425373619808,1.0048468513746158,0.6204462843390226,0.08792811693623828,79
