dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,threshold,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,rows
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.0,7319,0.8398108163684969,0.8387175609075641,0.8252969854025762,0.8387175609075641,0.8304265262276023,0.8458493057038429,0.8398108163684969,0.8414268173805215,0.9023785793900023,0.9156957959016752,0.3247931352092824,0.10004346984470973,0.019374938585541138,,0.7507660878447395,0.8347529812606473,0.790535090077978,0.899827882960413,0.842682140554481,0.8703179623772266,0.842682140554481,2614,488,291,1470,4863
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,1.0,42,0.7165397170837867,0.6972044562532942,0.7263857341331099,0.6972044562532942,0.6982075520755365,0.723303502708974,0.7165397170837867,0.7069487168476822,0.75882716542372,0.7762759914424526,0.562280581918959,0.19128062709847957,0.015030794334652051,,0.7526132404181185,0.5326757090012331,0.623826714801444,0.7001582278481012,0.8617332035053554,0.772588389349629,0.8617332035053554,2655,426,1137,1296,5514
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,1.0,1201,0.7165397170837867,0.6972044562532942,0.7263857341331099,0.6972044562532942,0.6982075520755365,0.723303502708974,0.7165397170837867,0.7069487168476822,0.75882716542372,0.7762759914424526,0.562280581918959,0.19128062709847957,0.015030794334652051,,0.7526132404181185,0.5326757090012331,0.623826714801444,0.7001582278481012,0.8617332035053554,0.772588389349629,0.8617332035053554,2655,426,1137,1296,5514
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,1.0,2026,0.7165397170837867,0.6972044562532942,0.7263857341331099,0.6972044562532942,0.6982075520755365,0.723303502708974,0.7165397170837867,0.7069487168476822,0.75882716542372,0.7762759914424526,0.562280581918959,0.19128062709847957,0.015030794334652051,,0.7526132404181185,0.5326757090012331,0.623826714801444,0.7001582278481012,0.8617332035053554,0.772588389349629,0.8617332035053554,2655,426,1137,1296,5514
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,1.0,3407,0.7165397170837867,0.6972044562532942,0.7263857341331099,0.6972044562532942,0.6982075520755365,0.723303502708974,0.7165397170837867,0.7069487168476822,0.75882716542372,0.7762759914424526,0.562280581918959,0.19128062709847957,0.015030794334652051,,0.7526132404181185,0.5326757090012331,0.623826714801444,0.7001582278481012,0.8617332035053554,0.772588389349629,0.8617332035053554,2655,426,1137,1296,5514
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,1.0,7319,0.7165397170837867,0.6972044562532942,0.7263857341331099,0.6972044562532942,0.6982075520755365,0.723303502708974,0.7165397170837867,0.7069487168476822,0.75882716542372,0.7762759914424526,0.562280581918959,0.19128062709847957,0.015030794334652051,,0.7526132404181185,0.5326757090012331,0.623826714801444,0.7001582278481012,0.8617332035053554,0.772588389349629,0.8617332035053554,2655,426,1137,1296,5514
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,1.0,42,0.7529234251225952,0.7360797710686333,0.7499209646353302,0.7360797710686333,0.7399554642816439,0.7516457823620569,0.7529234251225952,0.749418570841257,0.7971698055487471,0.8155019231339871,0.520205927559029,0.17433527965031662,0.01746972177980722,,0.7393364928909952,0.6327174402884183,0.6818844099077221,0.7605054363796651,0.8394421018488485,0.7980265186555658,0.8394421018488485,2588,495,815,1404,5302
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,1.0,1201,0.7529234251225952,0.7360797710686333,0.7499209646353302,0.7360797710686333,0.7399554642816439,0.7516457823620569,0.7529234251225952,0.749418570841257,0.7971698055487471,0.8155019231339871,0.520205927559029,0.17433527965031662,0.01746972177980722,,0.7393364928909952,0.6327174402884183,0.6818844099077221,0.7605054363796651,0.8394421018488485,0.7980265186555658,0.8394421018488485,2588,495,815,1404,5302
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,1.0,2026,0.7529234251225952,0.7360797710686333,0.7499209646353302,0.7360797710686333,0.7399554642816439,0.7516457823620569,0.7529234251225952,0.749418570841257,0.7971698055487471,0.8155019231339871,0.520205927559029,0.17433527965031662,0.01746972177980722,,0.7393364928909952,0.6327174402884183,0.6818844099077221,0.7605054363796651,0.8394421018488485,0.7980265186555658,0.8394421018488485,2588,495,815,1404,5302
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,1.0,3407,0.7529234251225952,0.7360797710686333,0.7499209646353302,0.7360797710686333,0.7399554642816439,0.7516457823620569,0.7529234251225952,0.749418570841257,0.7971698055487471,0.8155019231339871,0.520205927559029,0.17433527965031662,0.01746972177980722,,0.7393364928909952,0.6327174402884183,0.6818844099077221,0.7605054363796651,0.8394421018488485,0.7980265186555658,0.8394421018488485,2588,495,815,1404,5302
